Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,4.58,11.37,-1.22,7.47,19.65,60.67,108.12,192.36,5PAISA
Raw Material Cost,,,,,,,,,,,5PAISA
Change in Inventory,,,,,,,,,,,5PAISA
Power and Fuel,,,0.17,0.06,0.04,0.54,0.98,1.26,1.32,,5PAISA
Other Mfr. Exp,,,0.53,,0.01,0.08,0.4,0.39,0.22,,5PAISA
Employee Cost,,,1.93,2.02,2.16,8.24,19.39,26.98,29.23,34.91,5PAISA
Selling and admin,,,0.2,1.04,2.03,13.42,30.37,47.62,64.56,,5PAISA
Other Expenses,,,0.01,0.31,-0.01,0.03,0.19,1.27,3.25,111.69,5PAISA
Other Income,,,,,,,,0.01,0.01,1.5,5PAISA
Depreciation,,,,,0.01,0.28,0.67,1.44,3.84,3.92,5PAISA
Interest,,,,2.77,2.24,1.26,0.86,6.99,15.35,19.95,5PAISA
Profit before tax,,,1.74,5.17,-7.7,-16.38,-33.21,-25.27,-9.64,23.39,5PAISA
Tax,,,0.58,1.64,-2.2,-4.7,-7.91,-6.36,-1.74,6.07,5PAISA
Net profit,,,1.16,3.53,-5.5,-11.69,-25.3,-18.92,-7.9,17.32,5PAISA
