Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,3.31,4.8,11.77,17.55,21.4,24.92,AARON
Raw Material Cost,,,,,2.2,3.49,7.48,10.83,14.08,16.41,AARON
Change in Inventory,,,,,0.39,0.46,0.48,0.17,0.66,0.33,AARON
Power and Fuel,,,,,0.02,0.02,0.09,0.2,0.36,0.35,AARON
Other Mfr. Exp,,,,,0.86,0.85,0.88,1.4,0.84,0.89,AARON
Employee Cost,,,,,0.31,0.35,1.58,2.48,2.5,2.81,AARON
Selling and admin,,,,,0.17,0.29,0.65,0.75,1.19,1.25,AARON
Other Expenses,,,,,,0.01,0.01,0.02,0.02,0.13,AARON
Other Income,,,,,0.01,,0.02,0.03,0.04,0.12,AARON
Depreciation,,,,,0.01,0.01,0.1,0.2,0.55,0.63,AARON
Interest,,,,,0.08,0.17,0.14,0.29,0.59,0.44,AARON
Profit before tax,,,,,0.06,0.07,1.34,1.58,1.97,2.46,AARON
Tax,,,,,0.02,0.02,0.4,0.51,0.62,0.53,AARON
Net profit,,,,,0.04,0.05,0.93,1.06,1.34,1.93,AARON
