Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,380.82,431.44,441.05,638.98,682.55,711.11,928.64,1081.0,856.21,731.84,ALICON
Raw Material Cost,189.94,235.62,236.02,339.4,370.8,369.47,481.89,611.08,397.4,364.28,ALICON
Change in Inventory,0.04,3.5,3.18,5.04,0.06,3.75,13.72,45.22,-26.7,8.97,ALICON
Power and Fuel,31.05,36.08,36.44,45.71,42.06,51.15,66.93,71.92,60.52,51.05,ALICON
Other Mfr. Exp,48.4,46.67,54.08,77.82,75.94,76.82,108.08,120.72,119.6,106.29,ALICON
Employee Cost,45.88,49.07,52.07,78.97,83.21,99.84,131.12,136.17,113.92,106.66,ALICON
Selling and admin,13.72,17.02,18.85,32.51,37.0,36.28,50.6,46.18,35.28,39.35,ALICON
Other Expenses,-0.01,0.01,0.01,0.01,0.02,0.57,0.72,0.79,1.04,1.07,ALICON
Other Income,3.35,3.67,3.05,1.81,3.16,3.68,8.57,2.52,2.51,2.57,ALICON
Depreciation,14.97,17.51,17.57,22.82,23.59,25.0,29.9,35.28,40.95,45.68,ALICON
Interest,12.3,10.43,10.22,18.86,21.63,25.44,28.8,33.76,38.46,34.51,ALICON
Profit before tax,27.96,26.2,22.02,29.73,31.52,33.97,52.89,72.84,24.85,-5.51,ALICON
Tax,5.95,4.96,5.89,9.0,9.65,10.68,16.72,22.65,8.01,1.95,ALICON
Net profit,22.01,21.24,16.13,20.73,21.87,23.3,36.17,50.19,16.83,-7.46,ALICON
