Report Date,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-09-30 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,787.79,826.28,1377.13,1377.33,1357.87,1357.87,1368.64,1368.64,221.08,496.53,ALOKINDS
Reserves,2309.8,2828.24,3710.99,4038.49,5072.03,1637.87,-16567.71,-14290.81,-10909.76,-16761.9,ALOKINDS
Borrowings,9819.21,12772.22,16030.18,15346.66,20101.56,24140.27,26220.65,24094.52,27792.9,22609.86,ALOKINDS
Other Liabilities,1350.67,1810.64,4384.21,8589.96,6160.81,5226.16,7557.88,6724.23,698.1,1394.67,ALOKINDS
Total,14267.47,18237.38,25502.51,29352.44,32692.27,32362.17,18579.46,17896.58,17802.32,7739.16,ALOKINDS
Net Block,7427.21,8552.09,9183.43,8320.53,16346.59,15661.75,15134.39,14635.21,14104.18,5764.58,ALOKINDS
Capital Work in Progress,906.55,914.16,555.13,56.22,14.08,,,,,10.5,ALOKINDS
Investments,167.18,170.73,131.88,350.96,218.62,110.37,92.43,92.43,92.43,0.05,ALOKINDS
Other Assets,5766.53,8600.4,15632.07,20624.73,16112.98,16590.05,3352.64,3168.94,3605.71,1964.03,ALOKINDS
Total,14267.47,18237.38,25502.51,29352.44,32692.27,32362.17,18579.46,17896.58,17802.32,7739.16,ALOKINDS
Receivables,1740.19,2152.15,4943.09,7531.75,5921.09,9940.46,207.36,162.28,163.37,280.49,ALOKINDS
Inventory,2002.62,3379.91,5726.47,8284.58,8053.61,3210.6,360.24,325.56,334.75,884.57,ALOKINDS
Cash & Bank,1139.85,1294.84,882.65,634.75,137.88,80.14,43.66,24.83,470.29,248.17,ALOKINDS
No. of Equity Shares,787798278.0,826283278.0,1377129500.0,1377331816.0,1377331816.0,1377331816.0,1377331816.0,1377331816.0,2210720833.0,4965254322.0,ALOKINDS
New Bonus Shares,,745396.0,,,,,,,,,ALOKINDS
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,ALOKINDS
