Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,ALPA
Reserves,76.79,72.42,67.27,65.52,73.26,77.42,82.2,85.09,89.19,96.48,ALPA
Borrowings,11.85,16.74,22.99,28.57,24.23,10.72,5.98,1.67,0.41,0.19,ALPA
Other Liabilities,20.33,14.36,15.41,13.18,26.51,19.9,17.37,21.02,20.56,32.52,ALPA
Total,130.01,124.56,126.71,128.31,145.04,129.08,126.59,128.82,131.2,150.23,ALPA
Net Block,9.21,79.99,73.11,4.8,4.53,5.18,6.12,5.76,6.41,7.21,ALPA
Capital Work in Progress,59.05,,,0.07,,,,0.12,0.81,1.57,ALPA
Investments,,,,10.11,22.13,23.49,41.34,59.43,67.61,61.93,ALPA
Other Assets,61.75,44.57,53.6,113.33,118.38,100.41,79.13,63.51,56.37,79.52,ALPA
Total,130.01,124.56,126.71,128.31,145.04,129.08,126.59,128.82,131.2,150.23,ALPA
Receivables,21.41,19.47,20.08,24.48,34.26,29.16,25.44,29.81,24.59,35.43,ALPA
Inventory,15.54,13.3,13.0,7.52,15.0,13.04,13.72,14.04,12.55,16.56,ALPA
Cash & Bank,0.15,0.53,10.46,72.13,34.76,35.53,21.29,0.88,5.92,10.24,ALPA
No. of Equity Shares,21040600.0,21040600.0,21040600.0,21040600.0,21040600.0,21040600.0,21040600.0,21040600.0,21040600.0,21040600.0,ALPA
New Bonus Shares,,,,,,,,,,,ALPA
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ALPA
