Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,128.39,128.14,131.45,154.43,174.37,206.89,219.99,253.23,261.48,332.84,AMRUTANJAN
Raw Material Cost,58.28,57.75,54.18,59.79,64.86,85.69,94.01,122.16,124.05,135.18,AMRUTANJAN
Change in Inventory,0.3,-0.58,0.07,-0.04,-0.34,2.32,-0.8,3.3,6.97,-5.01,AMRUTANJAN
Power and Fuel,1.43,1.6,1.47,1.65,1.63,1.66,1.7,1.87,2.02,1.76,AMRUTANJAN
Other Mfr. Exp,1.28,1.35,1.59,1.68,1.75,6.38,6.42,5.72,6.78,6.66,AMRUTANJAN
Employee Cost,17.93,19.93,22.35,25.53,28.32,30.05,34.19,33.72,39.74,42.39,AMRUTANJAN
Selling and admin,34.57,33.87,35.3,48.93,54.6,53.95,52.8,59.6,61.07,64.03,AMRUTANJAN
Other Expenses,-5.13,-6.18,-6.72,-8.01,-8.69,2.65,1.86,2.55,3.96,2.97,AMRUTANJAN
Other Income,4.51,4.27,2.81,4.54,5.73,7.25,7.89,7.13,8.32,11.32,AMRUTANJAN
Depreciation,3.17,3.29,3.2,2.35,2.52,2.05,2.91,3.16,4.36,3.67,AMRUTANJAN
Interest,3.1,2.42,1.7,0.62,0.2,0.25,0.31,0.2,0.34,0.59,AMRUTANJAN
Profit before tax,18.57,17.8,21.26,26.39,34.57,33.78,32.88,34.68,34.45,81.9,AMRUTANJAN
Tax,5.33,5.68,6.73,9.27,12.15,11.99,12.91,10.17,9.37,20.71,AMRUTANJAN
Net profit,13.24,12.12,14.52,17.12,22.42,21.8,19.97,24.51,25.08,61.19,AMRUTANJAN
