Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,758.04,832.0,726.17,778.54,869.32,906.7,966.63,974.36,1040.68,949.72,ANDHRSUGAR
Raw Material Cost,338.32,316.17,308.18,312.08,322.95,245.29,303.98,399.52,320.95,288.38,ANDHRSUGAR
Change in Inventory,57.59,-7.89,69.67,-23.54,-34.74,-51.28,-38.32,138.68,-13.99,-30.63,ANDHRSUGAR
Power and Fuel,103.87,135.42,152.33,175.41,175.35,189.57,190.75,182.49,186.17,190.25,ANDHRSUGAR
Other Mfr. Exp,93.47,58.58,108.56,116.37,104.55,98.07,104.97,89.45,104.72,97.62,ANDHRSUGAR
Employee Cost,71.53,74.39,77.02,72.42,81.64,92.25,101.33,117.68,122.7,120.08,ANDHRSUGAR
Selling and admin,9.71,39.91,8.4,9.36,9.46,8.88,10.15,8.12,12.68,9.11,ANDHRSUGAR
Other Expenses,13.71,14.95,14.33,13.65,13.01,14.91,15.82,19.57,18.67,18.12,ANDHRSUGAR
Other Income,13.23,-4.05,13.01,10.66,22.22,22.54,26.79,37.43,27.02,15.67,ANDHRSUGAR
Depreciation,39.32,41.19,43.26,35.69,47.89,44.2,48.63,49.73,56.49,55.63,ANDHRSUGAR
Interest,21.09,20.08,20.55,23.04,28.34,25.13,31.83,29.89,28.07,26.53,ANDHRSUGAR
Profit before tax,137.84,119.37,76.22,7.64,73.61,159.66,147.64,254.02,203.26,129.04,ANDHRSUGAR
Tax,44.42,44.52,21.68,4.26,27.21,39.14,48.34,88.31,13.11,26.95,ANDHRSUGAR
Net profit,93.42,74.85,54.54,3.38,46.4,120.51,99.3,165.72,190.16,102.09,ANDHRSUGAR
