Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,22.07,22.07,22.07,22.07,22.07,22.07,22.07,22.07,22.07,19.87,ARCHIDPLY
Reserves,83.65,85.72,89.73,95.29,101.33,107.39,109.85,66.69,66.72,63.77,ARCHIDPLY
Borrowings,55.92,54.78,60.31,56.38,48.55,60.72,69.65,62.36,58.22,64.18,ARCHIDPLY
Other Liabilities,47.96,58.09,63.18,50.01,42.83,66.4,73.6,51.69,46.34,43.91,ARCHIDPLY
Total,209.6,220.66,235.29,223.75,214.78,256.58,275.17,202.81,193.35,191.73,ARCHIDPLY
Net Block,55.05,53.92,59.4,57.29,56.84,55.36,65.66,44.77,43.21,47.75,ARCHIDPLY
Capital Work in Progress,0.05,4.34,0.37,0.48,0.04,0.86,0.05,0.38,0.15,0.12,ARCHIDPLY
Investments,0.03,0.01,0.01,0.01,1.32,0.95,0.95,,0.15,0.15,ARCHIDPLY
Other Assets,154.47,162.39,175.51,165.97,156.58,199.41,208.51,157.66,149.84,143.71,ARCHIDPLY
Total,209.6,220.66,235.29,223.75,214.78,256.58,275.17,202.81,193.35,191.73,ARCHIDPLY
Receivables,45.32,52.98,54.12,51.35,57.15,79.91,86.83,80.16,73.02,71.39,ARCHIDPLY
Inventory,77.7,76.02,86.36,78.81,59.33,74.82,81.24,52.33,50.25,45.78,ARCHIDPLY
Cash & Bank,9.74,9.89,10.7,9.54,8.04,7.86,12.55,7.42,0.59,9.66,ARCHIDPLY
No. of Equity Shares,22065000.0,22065000.0,22065000.0,22065000.0,22065000.0,22065000.0,22065000.0,22065000.0,22065000.0,19865000.0,ARCHIDPLY
New Bonus Shares,,,,,,,,,,,ARCHIDPLY
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ARCHIDPLY
