Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,16.93,18.04,18.53,19.46,19.46,19.51,19.53,19.55,19.57,19.59,ASTEC
Reserves,81.47,88.52,96.14,117.06,98.78,118.47,150.16,182.91,226.87,289.12,ASTEC
Borrowings,70.35,70.27,78.98,93.23,126.95,126.56,124.58,175.67,99.07,187.48,ASTEC
Other Liabilities,58.11,80.97,85.33,128.2,83.95,69.05,118.87,82.95,226.59,181.71,ASTEC
Total,226.86,257.8,278.98,357.95,329.14,333.59,413.14,461.08,572.1,677.9,ASTEC
Net Block,75.57,120.2,130.05,127.23,94.33,102.62,114.76,166.64,193.68,212.67,ASTEC
Capital Work in Progress,43.62,13.07,5.84,12.25,19.85,7.56,41.87,18.98,24.11,115.71,ASTEC
Investments,12.73,1.02,1.05,1.09,0.49,0.49,0.49,0.49,0.49,0.43,ASTEC
Other Assets,94.94,123.51,142.04,217.38,214.47,222.92,256.02,274.97,353.82,349.09,ASTEC
Total,226.86,257.8,278.98,357.95,329.14,333.59,413.14,461.08,572.1,677.9,ASTEC
Receivables,30.73,60.14,44.42,98.8,80.14,110.65,123.13,121.8,160.83,187.15,ASTEC
Inventory,43.32,44.11,67.92,62.4,70.75,65.55,78.48,92.85,121.17,106.09,ASTEC
Cash & Bank,3.54,4.3,3.85,11.22,6.01,4.13,1.41,1.43,1.45,1.56,ASTEC
No. of Equity Shares,16929130.0,18044130.0,18529130.0,19455055.0,19455055.0,19512855.0,19527655.0,19552655.0,19568355.0,19587555.0,ASTEC
New Bonus Shares,,,,,,,,,,,ASTEC
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ASTEC
