Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,531.4,390.34,473.87,517.07,563.73,543.71,571.0,728.29,831.81,813.56,ASTRAZEN
Raw Material Cost,190.75,158.04,186.15,194.06,193.65,155.96,231.52,232.51,344.44,292.0,ASTRAZEN
Change in Inventory,12.1,3.48,20.03,-6.01,-5.42,-17.98,51.0,1.38,39.21,-2.95,ASTRAZEN
Power and Fuel,3.1,5.82,8.69,8.51,7.43,7.68,8.3,8.27,7.72,7.37,ASTRAZEN
Other Mfr. Exp,22.54,13.87,14.61,11.85,10.41,7.47,7.88,9.83,9.04,9.11,ASTRAZEN
Employee Cost,161.92,148.46,160.46,159.84,169.35,162.04,150.39,197.4,216.7,219.54,ASTRAZEN
Selling and admin,128.96,131.04,132.5,141.54,154.91,144.27,168.54,198.14,157.18,129.19,ASTRAZEN
Other Expenses,5.97,5.04,4.47,6.67,6.14,10.94,9.08,12.22,15.24,17.93,ASTRAZEN
Other Income,6.33,10.46,23.1,5.85,6.77,13.96,12.25,16.29,12.99,12.84,ASTRAZEN
Depreciation,7.34,12.28,10.12,15.28,17.43,15.83,14.74,14.92,18.58,20.13,ASTRAZEN
Interest,,,,,,,,,1.14,1.09,ASTRAZEN
Profit before tax,29.25,-70.27,,-20.84,5.76,35.5,43.8,72.67,113.97,127.09,ASTRAZEN
Tax,9.49,19.26,0.51,,0.5,15.45,17.89,18.22,41.76,33.79,ASTRAZEN
Net profit,19.76,-89.53,-0.51,-20.84,5.26,20.05,25.91,54.45,72.21,93.3,ASTRAZEN
