Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,704.55,788.91,764.83,759.74,782.08,808.22,811.73,823.53,835.08,891.69,ATFL
Raw Material Cost,463.86,500.46,510.1,442.23,514.98,483.88,484.7,503.28,505.21,569.45,ATFL
Change in Inventory,8.35,3.08,-3.73,5.36,-2.56,5.79,2.72,0.13,-7.73,13.19,ATFL
Power and Fuel,0.95,1.74,2.34,2.86,3.92,2.95,4.6,6.03,5.86,6.8,ATFL
Other Mfr. Exp,54.76,63.48,19.76,80.12,26.46,67.54,68.79,74.46,74.57,81.52,ATFL
Employee Cost,32.11,37.04,38.53,40.36,41.68,44.06,45.02,45.66,43.63,48.16,ATFL
Selling and admin,102.63,120.26,114.95,130.86,130.29,149.27,141.51,124.69,129.46,123.74,ATFL
Other Expenses,4.24,4.25,4.94,7.44,5.21,5.58,3.94,4.68,10.28,15.32,ATFL
Other Income,2.1,2.5,-0.02,0.13,0.13,4.43,0.85,3.59,3.25,1.9,ATFL
Depreciation,5.69,6.67,10.77,14.76,16.01,16.51,17.47,16.77,18.84,18.0,ATFL
Interest,0.17,0.14,2.14,1.3,5.51,4.57,0.33,0.18,1.84,1.83,ATFL
Profit before tax,50.59,60.45,57.55,45.3,35.59,44.08,48.94,51.5,40.91,41.96,ATFL
Tax,14.45,18.8,14.46,8.02,12.23,16.78,17.29,17.6,6.99,11.66,ATFL
Net profit,36.14,41.64,43.08,37.28,23.36,27.3,31.65,33.91,33.92,30.3,ATFL
