Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,BAJAJHLDNG
Reserves,4737.15,5075.46,5418.34,5851.58,6686.76,7224.94,10110.45,10878.13,10581.2,13905.48,BAJAJHLDNG
Borrowings,,,,,,,,,167.77,136.18,BAJAJHLDNG
Other Liabilities,445.65,421.88,442.03,493.76,171.99,66.04,67.6,56.09,66.12,350.25,BAJAJHLDNG
Total,5294.09,5608.63,5971.66,6456.63,6970.04,7402.27,10289.34,11045.51,10926.38,14503.2,BAJAJHLDNG
Net Block,29.32,25.05,24.84,24.63,24.42,220.22,214.99,193.43,359.05,327.54,BAJAJHLDNG
Capital Work in Progress,160.33,,,,,,,,,,BAJAJHLDNG
Investments,4249.22,4932.36,5365.6,6172.51,5308.37,6894.28,9596.6,10294.86,10334.95,14020.0,BAJAJHLDNG
Other Assets,855.22,651.22,581.22,259.49,1637.25,287.77,477.75,557.22,232.38,155.66,BAJAJHLDNG
Total,5294.09,5608.63,5971.66,6456.63,6970.04,7402.27,10289.34,11045.51,10926.38,14503.2,BAJAJHLDNG
Receivables,,,,,,,,,,,BAJAJHLDNG
Inventory,,,,,,,,,,,BAJAJHLDNG
Cash & Bank,402.44,138.96,265.0,45.19,1421.46,5.83,81.14,10.01,30.24,26.85,BAJAJHLDNG
No. of Equity Shares,111293510.0,111293510.0,111293500.0,111293510.0,111293510.0,111293510.0,111293510.0,111293510.0,111293510.0,111293510.0,BAJAJHLDNG
New Bonus Shares,,,,,,,,,,,BAJAJHLDNG
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,BAJAJHLDNG
