Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,13.04,13.04,13.04,13.04,15.19,15.19,20.23,20.23,20.23,20.23,BALAJITELE
Reserves,393.91,404.19,411.16,416.95,608.06,559.98,963.08,989.7,1037.17,1062.44,BALAJITELE
Borrowings,,,,,,,,,27.53,3.16,BALAJITELE
Other Liabilities,28.22,26.14,28.22,39.92,57.92,117.0,59.36,87.05,128.75,106.01,BALAJITELE
Total,435.17,443.37,452.42,469.91,681.17,692.17,1042.67,1096.98,1213.68,1191.84,BALAJITELE
Net Block,31.68,25.93,20.75,22.96,28.86,33.49,30.23,30.03,53.63,23.96,BALAJITELE
Capital Work in Progress,0.7,0.03,0.88,0.22,,3.4,2.27,0.52,1.79,,BALAJITELE
Investments,257.56,180.42,226.74,211.68,272.75,250.12,687.77,708.01,724.38,657.61,BALAJITELE
Other Assets,145.23,236.99,204.05,235.05,379.56,405.16,322.4,358.42,433.88,510.27,BALAJITELE
Total,435.17,443.37,452.42,469.91,681.17,692.17,1042.67,1096.98,1213.68,1191.84,BALAJITELE
Receivables,31.55,36.4,31.52,59.02,76.17,99.71,82.98,102.84,124.55,135.46,BALAJITELE
Inventory,6.85,3.46,6.52,5.09,11.59,92.05,68.56,63.28,23.78,33.52,BALAJITELE
Cash & Bank,5.39,9.45,0.85,6.46,3.98,10.54,10.4,15.87,13.93,72.83,BALAJITELE
No. of Equity Shares,65210443.0,65210443.0,65210443.0,65210443.0,75930443.0,75930443.0,101130443.0,101130443.0,101130443.0,101130443.0,BALAJITELE
New Bonus Shares,,,,,,,,,,,BALAJITELE
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,BALAJITELE
