Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,16.29,16.29,28.5,28.5,28.5,114.0,114.0,114.0,171.0,171.0,BALMLAWRIE
Reserves,602.62,706.71,791.14,874.56,1036.44,1051.99,1141.86,1186.2,1148.66,1136.72,BALMLAWRIE
Borrowings,,,,,,,14.9,14.6,34.53,34.58,BALMLAWRIE
Other Liabilities,542.91,550.09,618.76,546.5,527.97,627.53,581.1,568.46,527.75,582.37,BALMLAWRIE
Total,1161.82,1273.09,1438.4,1449.56,1592.91,1793.52,1851.86,1883.26,1881.94,1924.67,BALMLAWRIE
Net Block,228.04,263.49,290.3,406.84,393.26,396.48,401.21,401.7,566.45,572.59,BALMLAWRIE
Capital Work in Progress,5.72,9.15,73.79,4.47,7.26,23.31,13.25,116.94,23.64,32.11,BALMLAWRIE
Investments,45.42,55.17,57.39,57.4,58.45,87.38,138.41,140.07,129.5,129.79,BALMLAWRIE
Other Assets,882.64,945.28,1016.92,980.85,1133.94,1286.35,1298.99,1224.55,1162.35,1190.18,BALMLAWRIE
Total,1161.82,1273.09,1438.4,1449.56,1592.91,1793.52,1851.86,1883.26,1881.94,1924.67,BALMLAWRIE
Receivables,353.73,361.03,410.69,365.13,230.33,281.61,271.27,276.19,272.96,288.91,BALMLAWRIE
Inventory,123.35,119.6,141.72,130.1,119.76,151.7,136.63,142.93,145.06,160.14,BALMLAWRIE
Cash & Bank,316.37,370.39,346.86,361.29,443.7,508.65,480.67,437.78,449.79,531.53,BALMLAWRIE
No. of Equity Shares,16286081.0,16286081.0,28500641.0,28500641.0,28500641.0,114002564.0,114002564.0,114002564.0,171003846.0,171003846.0,BALMLAWRIE
New Bonus Shares,,,12214560.0,,,85501923.0,85501923.0,85501923.0,57001282.0,,BALMLAWRIE
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,BALMLAWRIE
