Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,33.86,27.68,26.57,23.57,24.74,27.32,23.78,17.31,25.78,20.47,BANARBEADS
Raw Material Cost,15.17,13.09,10.33,11.89,11.92,9.05,16.19,5.51,6.99,0.33,BANARBEADS
Change in Inventory,-1.92,3.57,-2.11,3.29,0.82,-3.96,4.59,-0.35,-1.57,0.82,BANARBEADS
Power and Fuel,0.2,0.39,0.7,0.62,0.55,0.57,0.44,0.57,0.45,0.3,BANARBEADS
Other Mfr. Exp,4.86,7.21,2.07,4.32,3.45,3.36,2.39,2.24,5.17,11.27,BANARBEADS
Employee Cost,3.19,3.22,3.11,3.14,3.61,3.57,3.42,3.68,4.04,3.72,BANARBEADS
Selling and admin,2.88,3.21,3.11,2.78,3.15,2.84,2.47,2.22,3.36,2.17,BANARBEADS
Other Expenses,0.08,0.07,0.36,0.13,0.12,0.23,0.18,0.17,0.33,0.15,BANARBEADS
Other Income,1.56,1.67,1.22,1.19,6.3,1.32,0.96,0.84,0.82,1.48,BANARBEADS
Depreciation,0.83,0.89,1.46,2.35,2.13,2.1,1.84,1.52,1.35,1.46,BANARBEADS
Interest,0.32,0.81,1.04,0.19,0.67,0.15,0.08,0.3,0.11,0.2,BANARBEADS
Profit before tax,5.97,4.03,3.5,2.63,6.26,2.81,2.32,1.59,3.23,3.17,BANARBEADS
Tax,1.24,0.72,0.92,1.02,1.94,1.14,0.94,0.44,0.89,0.78,BANARBEADS
Net profit,4.73,3.31,2.58,1.61,4.32,1.67,1.38,1.16,2.34,2.39,BANARBEADS
