Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,455.59,558.58,698.74,677.91,767.3,868.45,892.04,999.83,924.97,859.64,BASML
Raw Material Cost,318.98,326.32,467.72,472.51,523.85,629.64,647.78,693.99,659.68,539.67,BASML
Change in Inventory,-23.12,-10.43,16.9,4.98,4.68,-1.42,39.61,16.6,10.1,-54.97,BASML
Power and Fuel,21.35,32.35,41.75,40.02,51.6,30.44,42.93,55.63,49.43,50.32,BASML
Other Mfr. Exp,20.01,25.31,30.34,27.5,22.25,26.78,35.55,37.14,30.02,28.57,BASML
Employee Cost,18.98,25.69,31.84,34.36,44.84,54.2,82.26,91.31,87.74,79.13,BASML
Selling and admin,22.79,25.39,25.94,30.23,40.47,38.42,35.47,33.46,25.53,28.22,BASML
Other Expenses,-3.29,-0.44,-0.22,-1.31,-3.06,1.6,0.68,2.22,7.59,11.39,BASML
Other Income,2.26,1.0,0.64,2.44,0.84,1.87,5.75,8.8,18.43,5.03,BASML
Depreciation,37.23,35.76,35.0,26.66,28.81,29.57,28.23,30.05,28.31,28.09,BASML
Interest,32.64,38.05,37.86,36.21,36.33,43.79,56.86,62.36,64.96,56.76,BASML
Profit before tax,-33.96,40.72,46.05,19.15,27.73,14.46,7.64,19.07,0.24,-12.45,BASML
Tax,-17.59,13.41,14.48,6.32,9.18,3.25,0.3,-0.27,0.04,-1.9,BASML
Net profit,-16.37,27.32,31.57,12.83,18.55,11.2,7.34,19.34,0.2,-10.55,BASML
