Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,Company_Name
Sales,2993.27,3120.86,3179.62,3392.33,3298.03,3370.33,3584.32,3904.55,3876.82,2996.92,CASTROLIND
Raw Material Cost,1721.3,1836.27,1819.89,1920.69,1585.98,1546.57,1671.33,1971.11,1671.92,1290.47,CASTROLIND
Change in Inventory,26.81,12.0,31.42,-16.81,-14.81,14.98,5.43,64.55,-75.73,24.13,CASTROLIND
Power and Fuel,3.83,4.2,5.51,5.29,4.84,4.6,5.26,5.96,6.39,5.11,CASTROLIND
Other Mfr. Exp,126.01,136.76,142.84,163.18,163.71,175.26,186.81,217.88,221.81,193.16,CASTROLIND
Employee Cost,116.19,128.69,146.27,161.89,177.08,178.42,196.35,204.23,214.03,220.84,CASTROLIND
Selling and admin,359.58,376.7,383.02,383.48,419.09,440.26,437.82,455.47,482.82,451.24,CASTROLIND
Other Expenses,13.58,25.53,25.9,23.32,31.78,39.2,59.06,43.68,50.42,45.97,CASTROLIND
Other Income,63.15,70.39,106.31,47.15,90.01,85.74,83.65,84.31,64.14,61.88,CASTROLIND
Depreciation,25.11,26.64,30.45,36.13,38.97,44.96,45.5,55.57,69.74,86.62,CASTROLIND
Interest,1.68,2.14,1.71,2.38,0.83,1.48,1.2,1.09,1.19,4.16,CASTROLIND
Profit before tax,715.95,666.32,761.76,726.31,950.95,1040.3,1070.07,1098.42,1146.91,785.36,CASTROLIND
Tax,234.92,218.93,253.19,251.75,335.69,369.92,378.26,390.06,319.54,202.42,CASTROLIND
Net profit,481.03,447.39,508.57,474.56,615.26,670.38,691.81,708.36,827.37,582.94,CASTROLIND
