Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,34.89,34.91,34.98,35.03,35.03,35.03,35.03,35.03,35.03,35.06,CGCL
Reserves,774.71,842.97,919.02,998.11,1051.0,1108.78,1192.1,1316.44,1447.59,1592.21,CGCL
Borrowings,,,,50.0,141.17,727.3,1457.51,2092.33,2062.3,2613.16,CGCL
Other Liabilities,15.2,14.01,16.21,49.38,76.68,93.51,104.4,88.05,57.73,270.4,CGCL
Total,824.8,891.89,970.21,1132.52,1303.88,1964.62,2789.04,3531.85,3602.65,4510.83,CGCL
Net Block,3.84,4.5,11.21,8.1,7.73,12.45,11.73,10.11,28.99,24.5,CGCL
Capital Work in Progress,,,,,,0.27,,0.08,0.2,0.07,CGCL
Investments,56.49,57.62,37.7,126.97,122.77,80.78,133.79,187.51,423.64,701.92,CGCL
Other Assets,764.47,829.77,921.3,997.45,1173.38,1871.12,2643.52,3334.15,3149.82,3784.34,CGCL
Total,824.8,891.89,970.21,1132.52,1303.88,1964.62,2789.04,3531.85,3602.65,4510.83,CGCL
Receivables,2.33,39.4,7.86,26.0,8.12,0.73,0.58,4.55,0.91,1.56,CGCL
Inventory,184.3,238.24,158.02,23.54,,,,,,,CGCL
Cash & Bank,166.96,139.1,16.76,29.41,16.44,9.92,35.67,34.98,54.57,163.89,CGCL
No. of Equity Shares,34887600.0,34912549.0,34978000.0,35026961.0,35026961.0,175134805.0,175134805.0,175134805.0,175134805.0,175285355.0,CGCL
New Bonus Shares,,,,,,,,,,,CGCL
Face value,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,CGCL
