Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,416.21,416.21,413.95,413.95,416.21,416.21,416.21,416.21,416.21,416.21,CHAMBLFERT
Reserves,1362.5,1575.59,1772.25,1901.6,1789.88,2136.48,2496.44,2835.6,3507.42,4881.0,CHAMBLFERT
Borrowings,3556.9,5114.74,4546.65,3950.32,4806.59,4152.53,5608.99,8545.15,9634.99,3865.74,CHAMBLFERT
Other Liabilities,984.85,1334.11,1043.48,1008.29,939.8,1342.27,914.43,2048.78,1008.85,1064.02,CHAMBLFERT
Total,6320.46,8440.65,7776.33,7274.16,7952.48,8047.49,9436.07,13845.74,14567.47,10226.97,CHAMBLFERT
Net Block,2635.78,2599.2,2632.14,2550.89,1715.96,1098.84,1169.37,6846.04,6701.03,6479.84,CHAMBLFERT
Capital Work in Progress,54.33,44.23,42.54,92.36,626.38,1706.84,4128.71,108.67,84.99,160.79,CHAMBLFERT
Investments,492.25,544.4,560.35,487.38,315.71,291.25,291.25,327.46,289.49,302.93,CHAMBLFERT
Other Assets,3138.1,5252.82,4541.3,4143.53,5294.43,4950.56,3846.74,6563.57,7491.96,3283.41,CHAMBLFERT
Total,6320.46,8440.65,7776.33,7274.16,7952.48,8047.49,9436.07,13845.74,14567.47,10226.97,CHAMBLFERT
Receivables,2021.65,3433.63,3440.49,3049.43,3836.96,3023.15,2515.7,4822.64,5563.11,1174.59,CHAMBLFERT
Inventory,517.79,1226.78,642.12,693.68,862.18,849.35,795.1,1323.15,1135.6,789.14,CHAMBLFERT
Cash & Bank,273.5,224.71,23.66,21.37,30.88,104.07,69.22,62.06,150.82,900.89,CHAMBLFERT
No. of Equity Shares,416207852.0,416207852.0,413954450.0,413954450.0,416207852.0,416207852.0,416207852.0,416207852.0,416207852.0,416207852.0,CHAMBLFERT
New Bonus Shares,,,,,,,,,,,CHAMBLFERT
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,CHAMBLFERT
