Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,7.94,7.94,7.94,7.94,7.94,7.94,7.94,31.78,31.78,36.63,CHEMCON
Reserves,7.86,9.54,10.7,13.18,16.43,19.43,45.68,65.25,114.59,317.06,CHEMCON
Borrowings,3.96,13.45,13.97,12.09,12.87,20.19,16.89,33.11,45.75,6.22,CHEMCON
Other Liabilities,7.98,6.17,12.43,10.48,9.19,15.12,26.56,42.89,33.68,43.68,CHEMCON
Total,27.74,37.1,45.04,43.69,46.43,62.68,97.07,173.03,225.8,403.59,CHEMCON
Net Block,11.78,13.64,19.53,19.98,19.02,24.5,29.64,39.57,48.77,66.91,CHEMCON
Capital Work in Progress,,1.15,0.08,,,,,0.67,3.74,8.54,CHEMCON
Investments,,,,,,,,,,,CHEMCON
Other Assets,15.96,22.31,25.43,23.71,27.41,38.18,67.43,132.79,173.29,328.14,CHEMCON
Total,27.74,37.1,45.04,43.69,46.43,62.68,97.07,173.03,225.8,403.59,CHEMCON
Receivables,5.38,7.15,5.72,9.03,13.42,22.39,29.56,64.12,88.95,94.77,CHEMCON
Inventory,6.86,10.06,13.51,7.89,7.76,9.04,21.04,45.91,48.08,58.97,CHEMCON
Cash & Bank,0.96,0.71,2.27,1.33,1.07,0.86,1.49,11.59,14.1,121.85,CHEMCON
No. of Equity Shares,7944440.0,7944440.0,7944440.0,7944440.0,7944440.0,7944440.0,7940000.0,31780000.0,31780000.0,36631000.0,CHEMCON
New Bonus Shares,,,,,,,,23830000.0,23830000.0,23830000.0,CHEMCON
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,CHEMCON
