Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,55.71,55.8,55.98,56.18,56.2,56.3,56.3,55.2,55.0,55.0,CYIENT
Reserves,979.23,1110.83,1329.83,1524.43,1621.2,1825.9,2005.1,2181.3,2043.3,2342.2,CYIENT
Borrowings,,,,,,,,,136.1,104.1,CYIENT
Other Liabilities,162.14,217.39,236.19,260.24,244.3,281.1,339.7,343.6,438.3,537.6,CYIENT
Total,1197.08,1384.02,1622.0,1840.85,1921.7,2163.3,2401.1,2580.1,2672.7,3038.9,CYIENT
Net Block,287.8,311.84,312.93,308.61,271.6,255.6,254.4,266.4,435.5,372.3,CYIENT
Capital Work in Progress,17.39,22.76,3.5,3.28,0.6,16.3,46.4,75.5,62.7,77.0,CYIENT
Investments,166.95,205.68,184.74,479.64,537.7,553.0,576.9,537.9,510.7,500.8,CYIENT
Other Assets,724.94,843.74,1120.83,1049.32,1111.8,1338.4,1523.4,1700.3,1663.8,2088.8,CYIENT
Total,1197.08,1384.02,1622.0,1840.85,1921.7,2163.3,2401.1,2580.1,2672.7,3038.9,CYIENT
Receivables,181.3,180.26,266.45,298.39,280.2,295.0,415.1,507.9,565.8,429.7,CYIENT
Inventory,,,,,,,,,,,CYIENT
Cash & Bank,390.83,424.81,580.79,442.46,495.6,653.9,726.6,712.7,583.7,1154.3,CYIENT
No. of Equity Shares,111415262.0,111602967.0,111964613.0,112361065.0,112483377.0,112566340.0,112596002.0,110474173.0,109971221.0,109971221.0,CYIENT
New Bonus Shares,,,,,,,,,,,CYIENT
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,CYIENT
