Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,3.27,3.27,3.27,55.67,55.67,58.33,DODLA
Reserves,,,,,240.92,287.41,339.57,341.26,341.31,545.93,DODLA
Borrowings,,,,,109.2,136.14,125.81,157.79,159.52,98.42,DODLA
Other Liabilities,,,,,82.19,104.01,132.09,168.72,176.41,200.3,DODLA
Total,,,,,435.58,530.83,600.74,723.44,732.91,902.98,DODLA
Net Block,,,,,160.02,231.8,296.42,460.9,481.88,492.05,DODLA
Capital Work in Progress,,,,,35.7,30.47,15.01,10.98,8.5,8.26,DODLA
Investments,,,,,94.99,109.14,108.51,66.78,55.31,104.21,DODLA
Other Assets,,,,,144.87,159.42,180.8,184.78,187.22,298.46,DODLA
Total,,,,,435.58,530.83,600.74,723.44,732.91,902.98,DODLA
Receivables,,,,,0.51,0.53,1.94,3.72,3.67,4.88,DODLA
Inventory,,,,,89.15,82.82,129.58,117.45,111.02,85.35,DODLA
Cash & Bank,,,,,9.18,6.94,11.17,10.1,26.77,159.94,DODLA
No. of Equity Shares,,,,,3274823.0,3274823.0,3274823.0,55671991.0,55671991.0,58324511.0,DODLA
New Bonus Shares,,,,,,,,52397168.0,,,DODLA
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,DODLA
