Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,472.47,570.92,713.38,818.34,1105.89,1162.02,1144.02,1139.82,1120.17,1197.4,ECLERX
Raw Material Cost,,,,,,,,,,,ECLERX
Change in Inventory,,,,,,,,,,,ECLERX
Power and Fuel,4.54,6.53,6.28,9.38,9.97,8.45,7.71,8.74,7.72,6.57,ECLERX
Other Mfr. Exp,66.98,94.97,8.7,11.29,15.38,26.19,30.23,34.4,44.2,48.82,ECLERX
Employee Cost,158.44,182.17,213.1,282.29,383.08,394.67,437.2,461.59,484.68,479.87,ECLERX
Selling and admin,55.04,59.4,175.43,242.87,271.62,292.59,334.16,369.75,328.05,279.3,ECLERX
Other Expenses,1.35,0.82,1.42,5.18,7.25,17.26,7.96,9.88,13.03,28.4,ECLERX
Other Income,21.88,-20.66,15.76,31.81,12.33,20.17,65.03,55.83,3.87,39.03,ECLERX
Depreciation,12.56,15.73,14.33,28.57,41.66,36.41,29.6,26.16,44.59,50.0,ECLERX
Interest,,,0.86,0.54,0.69,1.23,0.75,0.77,18.45,19.0,ECLERX
Profit before tax,195.44,190.64,309.02,270.03,388.57,405.39,361.44,284.36,183.32,324.47,ECLERX
Tax,38.11,34.71,62.51,54.27,93.72,74.25,83.31,74.75,59.74,85.56,ECLERX
Net profit,157.33,155.92,246.51,215.77,294.85,331.15,278.12,209.61,123.57,238.9,ECLERX
