,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,66.85,67.25,65.1,65.95,792595,FCL
1,2021-01-04 00:00:00+05:30,65.65,65.65,62.4,63.6,885685,FCL
2,2021-01-05 00:00:00+05:30,62.9,67.1,61.65,64.05,1509799,FCL
3,2021-01-06 00:00:00+05:30,64.95,66.0,61.8,62.3,998411,FCL
4,2021-01-07 00:00:00+05:30,63.55,63.85,62.1,62.65,347965,FCL
5,2021-01-08 00:00:00+05:30,63.85,63.85,60.3,61.0,502823,FCL
6,2021-01-11 00:00:00+05:30,61.0,62.55,57.0,58.65,679458,FCL
7,2021-01-12 00:00:00+05:30,60.5,64.5,59.05,64.5,1457959,FCL
8,2021-01-13 00:00:00+05:30,65.3,65.8,62.0,62.45,587008,FCL
9,2021-01-14 00:00:00+05:30,62.1,64.7,61.0,63.0,287689,FCL
10,2021-01-15 00:00:00+05:30,63.8,63.8,61.15,62.15,249719,FCL
11,2021-01-18 00:00:00+05:30,62.5,67.95,60.0,65.7,1120823,FCL
12,2021-01-19 00:00:00+05:30,66.3,70.0,63.5,68.85,2247137,FCL
13,2021-01-20 00:00:00+05:30,68.0,69.75,64.25,67.15,1135447,FCL
14,2021-01-21 00:00:00+05:30,67.7,67.95,64.85,65.05,568704,FCL
15,2021-01-22 00:00:00+05:30,65.95,68.5,64.0,65.5,655753,FCL
16,2021-01-25 00:00:00+05:30,70.0,70.2,65.0,65.65,1132609,FCL
17,2021-01-27 00:00:00+05:30,65.9,65.9,63.05,63.95,327381,FCL
18,2021-01-28 00:00:00+05:30,63.0,64.9,60.1,64.1,504863,FCL
19,2021-01-29 00:00:00+05:30,64.75,67.5,62.55,63.95,562129,FCL
20,2021-02-01 00:00:00+05:30,64.3,67.5,62.45,66.3,884537,FCL
21,2021-02-02 00:00:00+05:30,66.3,67.0,63.9,64.85,581864,FCL
22,2021-02-03 00:00:00+05:30,65.35,66.6,64.0,65.75,1005773,FCL
23,2021-02-04 00:00:00+05:30,65.2,72.3,64.8,70.1,2790743,FCL
24,2021-02-05 00:00:00+05:30,70.9,71.9,67.0,67.8,557484,FCL
25,2021-02-08 00:00:00+05:30,67.8,69.9,67.15,68.4,403080,FCL
26,2021-02-09 00:00:00+05:30,67.85,70.0,67.85,69.45,775929,FCL
27,2021-02-10 00:00:00+05:30,69.5,70.9,68.05,68.4,534495,FCL
28,2021-02-11 00:00:00+05:30,69.4,70.9,68.1,69.5,593282,FCL
29,2021-02-12 00:00:00+05:30,70.1,74.0,69.0,73.7,1261872,FCL
30,2021-02-15 00:00:00+05:30,74.0,75.0,72.15,72.75,622101,FCL
31,2021-02-16 00:00:00+05:30,72.2,73.35,70.1,71.25,380616,FCL
32,2021-02-17 00:00:00+05:30,70.9,72.95,70.5,72.6,455068,FCL
33,2021-02-18 00:00:00+05:30,73.6,76.4,72.3,74.1,634778,FCL
34,2021-02-19 00:00:00+05:30,72.55,74.7,69.3,71.2,402743,FCL
35,2021-02-22 00:00:00+05:30,70.5,71.5,68.0,68.65,340139,FCL
36,2021-02-23 00:00:00+05:30,69.0,70.9,68.5,70.0,218284,FCL
