Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,71.57,115.33,165.97,170.78,182.51,190.42,242.72,257.38,265.17,259.09,GLOBE
Raw Material Cost,67.15,111.39,152.33,153.98,164.33,173.43,220.28,232.41,219.86,241.84,GLOBE
Change in Inventory,2.31,5.31,4.1,-1.92,3.73,8.9,6.34,9.73,3.37,10.16,GLOBE
Power and Fuel,,,,,,0.15,0.22,0.22,0.24,0.19,GLOBE
Other Mfr. Exp,,,,,,0.77,1.09,3.79,21.74,12.31,GLOBE
Employee Cost,0.43,0.63,0.8,1.33,3.66,4.97,8.4,8.57,8.63,6.15,GLOBE
Selling and admin,,,,,0.24,10.96,10.04,8.17,6.15,4.2,GLOBE
Other Expenses,4.05,5.29,10.87,10.87,11.57,0.2,0.1,2.19,1.87,0.2,GLOBE
Other Income,0.15,0.17,0.34,4.48,0.64,1.51,2.86,0.74,1.88,4.5,GLOBE
Depreciation,0.02,0.03,0.06,0.11,0.42,0.81,1.05,1.15,1.26,1.24,GLOBE
Interest,0.96,1.12,2.8,3.62,4.35,4.59,5.68,5.73,6.69,6.26,GLOBE
Profit before tax,1.42,2.35,3.55,3.43,2.31,4.95,5.06,5.62,3.98,1.36,GLOBE
Tax,0.46,1.01,1.31,0.99,0.74,1.57,1.77,1.87,0.89,1.11,GLOBE
Net profit,0.96,1.34,2.23,2.44,1.57,3.39,3.3,3.74,3.1,0.25,GLOBE
