Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1489.38,1460.69,1545.96,1564.01,1730.33,1511.84,1664.69,1911.91,1745.57,1791.71,GOODYEAR
Raw Material Cost,1145.99,1102.19,1121.76,1126.04,1119.87,972.94,1085.28,1319.47,1173.95,1145.59,GOODYEAR
Change in Inventory,13.36,-0.19,5.84,32.44,4.68,21.53,6.78,-3.03,-18.39,-32.02,GOODYEAR
Power and Fuel,32.55,35.35,37.68,44.09,49.48,43.71,56.64,65.99,63.03,57.12,GOODYEAR
Other Mfr. Exp,17.64,8.4,13.3,12.44,16.59,14.9,15.43,17.5,24.12,28.08,GOODYEAR
Employee Cost,72.87,80.85,87.84,100.64,139.45,121.26,126.97,126.66,139.64,138.84,GOODYEAR
Selling and admin,130.85,147.66,151.05,158.09,183.76,159.9,159.47,185.81,161.62,148.42,GOODYEAR
Other Expenses,-5.28,-5.05,1.04,-1.22,29.51,20.86,26.01,28.97,29.08,24.88,GOODYEAR
Other Income,13.02,21.44,30.13,29.06,37.66,32.91,36.65,37.69,35.17,22.58,GOODYEAR
Depreciation,19.69,24.09,25.18,28.51,46.5,33.74,36.15,41.03,50.1,52.75,GOODYEAR
Interest,5.21,3.82,2.16,3.41,3.24,3.36,2.89,3.0,3.97,3.42,GOODYEAR
Profit before tax,96.24,84.63,141.92,153.51,184.27,195.61,199.28,158.14,116.84,183.17,GOODYEAR
Tax,31.65,28.31,47.85,52.27,64.51,68.24,69.32,56.07,28.0,46.91,GOODYEAR
Net profit,64.59,56.32,94.07,101.24,119.76,127.37,129.96,102.07,88.84,136.26,GOODYEAR
