Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,20.06,20.13,20.28,20.43,21.67,22.87,25.38,25.42,25.42,24.77,GRANULES
Reserves,224.68,250.37,324.03,404.98,642.83,861.49,1252.81,1397.81,1786.16,2137.85,GRANULES
Borrowings,162.97,226.96,329.84,411.55,641.39,656.5,978.44,991.18,890.92,848.62,GRANULES
Other Liabilities,99.37,119.49,181.67,269.77,262.01,314.12,382.17,409.96,443.68,671.6,GRANULES
Total,507.08,616.95,855.82,1106.73,1567.9,1854.98,2638.8,2824.37,3146.18,3682.84,GRANULES
Net Block,237.15,244.83,335.67,522.17,523.29,605.58,660.15,699.95,926.88,985.0,GRANULES
Capital Work in Progress,29.08,91.6,39.14,18.5,35.28,132.31,286.03,333.03,129.78,164.01,GRANULES
Investments,32.8,50.76,145.45,72.47,88.95,75.12,75.12,506.46,445.39,591.53,GRANULES
Other Assets,208.05,229.76,335.56,493.59,920.38,1041.97,1617.5,1284.93,1644.13,1942.3,GRANULES
Total,507.08,616.95,855.82,1106.73,1567.9,1854.98,2638.8,2824.37,3146.18,3682.84,GRANULES
Receivables,53.03,68.1,121.82,194.09,444.16,468.31,692.91,704.21,627.0,1014.24,GRANULES
Inventory,88.57,108.49,120.29,179.4,210.13,237.59,227.36,314.14,343.95,461.7,GRANULES
Cash & Bank,23.65,6.16,21.93,52.23,110.7,39.36,97.41,62.44,272.34,241.23,GRANULES
No. of Equity Shares,20061654.0,20126154.0,20281154.0,204251540.0,216711770.0,228702770.0,253837562.0,254247562.0,254247562.0,247674796.0,GRANULES
New Bonus Shares,,,,,,,,,,,GRANULES
Face value,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,GRANULES
