Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,348.74,369.69,383.38,458.43,503.94,591.36,821.51,1117.61,967.06,1026.49,HITECH
Raw Material Cost,311.46,325.74,348.04,398.43,441.52,524.31,746.45,1015.73,892.91,934.56,HITECH
Change in Inventory,3.81,1.78,11.64,1.46,3.83,2.32,5.26,-8.63,12.98,3.05,HITECH
Power and Fuel,9.59,10.32,12.46,13.47,14.13,11.5,13.2,15.54,14.41,14.62,HITECH
Other Mfr. Exp,5.78,7.2,5.79,6.7,1.54,0.88,0.98,2.05,0.94,1.16,HITECH
Employee Cost,4.29,5.16,5.33,7.3,8.5,9.94,9.5,10.3,13.08,13.35,HITECH
Selling and admin,6.36,6.63,5.45,8.0,9.09,8.39,9.51,10.16,12.65,13.08,HITECH
Other Expenses,-0.86,-1.04,-0.95,0.79,1.04,2.16,1.38,0.82,1.66,1.59,HITECH
Other Income,0.82,0.46,0.63,1.02,0.97,2.54,1.79,1.34,1.25,0.8,HITECH
Depreciation,2.88,3.24,3.42,3.98,5.79,6.12,3.27,4.14,5.04,6.55,HITECH
Interest,10.85,11.52,12.09,14.68,17.05,19.73,22.87,23.04,24.23,25.26,HITECH
Profit before tax,3.02,3.16,4.02,7.56,10.08,13.19,21.4,28.54,16.37,20.17,HITECH
Tax,1.06,1.08,1.43,2.58,3.57,4.4,6.84,10.36,2.33,5.13,HITECH
Net profit,1.95,2.07,2.59,4.98,6.5,8.79,14.56,18.18,14.04,15.04,HITECH
