Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,3549.0,4012.3,4352.25,4234.05,6033.01,7520.44,6911.73,11163.33,11517.2,12666.0,ICICIGI
Raw Material Cost,,,,,,,,,,,ICICIGI
Change in Inventory,,,,,,,,,,,ICICIGI
Power and Fuel,,,,,,,,,,,ICICIGI
Other Mfr. Exp,3622.96,3373.38,3654.72,3477.36,3600.24,4520.2,5374.36,7499.52,7215.57,7471.75,ICICIGI
Employee Cost,260.99,302.69,319.35,331.38,368.37,457.27,505.61,590.87,696.06,751.49,ICICIGI
Selling and admin,231.43,451.28,579.77,617.88,1249.86,1466.77,1195.09,1351.59,1430.39,1813.01,ICICIGI
Other Expenses,275.17,63.19,23.81,28.88,50.68,156.96,98.7,51.86,402.84,558.06,ICICIGI
Other Income,498.14,586.3,817.25,992.33,0.36,-2.23,1568.6,-1.57,14.58,12.22,ICICIGI
Depreciation,44.58,48.79,49.69,53.66,56.53,6.91,50.94,,90.03,129.96,ICICIGI
Interest,7.23,7.9,8.72,12.49,,,59.4,69.5,,,ICICIGI
Profit before tax,-395.22,351.37,533.44,704.73,707.69,910.1,1196.23,1598.42,1696.89,1953.95,ICICIGI
Tax,21.11,-1.41,13.37,119.41,200.25,208.22,334.46,549.15,503.13,480.9,ICICIGI
Net profit,-416.33,352.78,520.07,585.32,507.45,701.88,861.78,1049.26,1193.76,1473.05,ICICIGI
