Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,26.78,27.3,27.3,27.3,28.81,28.61,30.16,30.19,29.83,29.85,IEX
Reserves,74.65,141.26,222.56,209.62,167.85,245.3,249.34,333.75,352.45,491.26,IEX
Borrowings,,,2.84,,,,,,13.91,11.73,IEX
Other Liabilities,106.53,113.65,116.17,168.82,227.1,280.05,294.77,341.63,271.92,394.35,IEX
Total,207.96,282.21,368.87,405.74,423.76,553.96,574.27,705.57,668.11,927.19,IEX
Net Block,22.45,12.2,10.16,14.03,11.38,8.35,118.99,111.37,118.96,114.92,IEX
Capital Work in Progress,0.14,,0.08,,0.4,0.96,0.53,1.25,0.99,6.48,IEX
Investments,125.04,188.86,247.29,254.39,280.71,383.1,268.47,474.65,513.53,710.04,IEX
Other Assets,60.33,81.15,111.34,137.32,131.27,161.55,186.28,118.3,34.63,95.75,IEX
Total,207.96,282.21,368.87,405.74,423.76,553.96,574.27,705.57,668.11,927.19,IEX
Receivables,0.23,0.33,0.27,0.36,0.77,0.21,0.22,45.89,0.19,3.2,IEX
Inventory,,,,,,,,,,,IEX
Cash & Bank,55.75,38.72,42.2,83.5,91.48,128.45,114.36,67.62,27.26,77.37,IEX
No. of Equity Shares,26778100.0,27295762.0,27295762.0,27295762.0,28812193.0,28611061.0,30159992.0,301919020.0,298324941.0,298505341.0,IEX
New Bonus Shares,,,,,,,,,,,IEX
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,IEX
