Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,44.38,44.38,44.38,44.38,44.38,44.38,44.38,44.38,44.38,44.38,INDBANK
Reserves,-3.71,-2.99,-2.68,1.91,4.67,9.98,12.13,13.86,15.83,19.9,INDBANK
Borrowings,,,,,,1.58,0.03,,,,INDBANK
Other Liabilities,9.17,5.6,9.6,6.2,8.66,24.39,24.47,9.3,13.94,19.91,INDBANK
Total,49.84,46.99,51.3,52.49,57.71,80.33,81.01,67.54,74.15,84.19,INDBANK
Net Block,6.13,6.48,5.66,5.06,4.53,4.07,3.73,3.58,3.33,3.37,INDBANK
Capital Work in Progress,,,,,,,,,,,INDBANK
Investments,4.65,4.37,3.4,3.47,3.04,2.1,1.24,0.45,0.19,0.8,INDBANK
Other Assets,39.06,36.14,42.24,43.96,50.14,74.16,76.04,63.51,70.63,80.02,INDBANK
Total,49.84,46.99,51.3,52.49,57.71,80.33,81.01,67.54,74.15,84.19,INDBANK
Receivables,5.43,4.53,2.95,6.51,7.43,9.2,7.97,5.25,0.92,3.21,INDBANK
Inventory,,,,,,15.03,15.02,,,,INDBANK
Cash & Bank,10.51,9.69,18.67,16.56,21.55,21.05,18.7,34.18,35.32,37.05,INDBANK
No. of Equity Shares,44378200.0,44378200.0,44378200.0,44378200.0,44378200.0,44378200.0,44378200.0,44378200.0,44378200.0,44378200.0,INDBANK
New Bonus Shares,,,,,,,,,,,INDBANK
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,INDBANK
