Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2624.09,3333.83,2885.0,2557.41,2322.23,2473.41,3027.77,3356.02,2713.97,2279.52,INDIAGLYCO
Raw Material Cost,1465.44,2193.35,1935.58,1596.83,1493.81,1475.1,1829.78,1913.86,1653.92,1326.78,INDIAGLYCO
Change in Inventory,-33.81,-0.35,56.54,-17.7,31.44,26.96,-37.54,11.31,-26.38,14.4,INDIAGLYCO
Power and Fuel,320.64,349.44,346.18,335.29,301.46,288.91,335.49,410.38,250.34,213.93,INDIAGLYCO
Other Mfr. Exp,166.47,104.01,216.84,210.88,90.29,225.73,232.25,301.1,221.56,244.36,INDIAGLYCO
Employee Cost,69.06,81.47,79.65,85.73,85.84,94.4,95.3,99.08,91.62,82.02,INDIAGLYCO
Selling and admin,121.91,150.19,104.19,124.33,183.42,175.27,172.23,185.67,154.74,154.28,INDIAGLYCO
Other Expenses,107.76,86.59,48.5,49.26,16.63,4.16,-0.01,37.55,37.79,14.96,INDIAGLYCO
Other Income,8.61,11.72,-164.02,-15.18,-50.0,6.65,9.7,16.57,51.95,34.4,INDIAGLYCO
Depreciation,77.53,82.43,82.84,81.16,65.16,67.68,68.73,71.89,73.2,75.81,INDIAGLYCO
Interest,113.2,132.72,133.53,157.7,133.06,121.81,117.61,135.66,90.24,73.45,INDIAGLYCO
Profit before tax,156.88,165.0,-169.79,-116.65,-66.0,53.96,148.55,228.71,166.13,142.73,INDIAGLYCO
Tax,52.29,44.06,-50.25,-55.31,-23.68,9.44,50.46,80.5,37.87,58.43,INDIAGLYCO
Net profit,104.59,120.94,-119.54,-61.34,-42.31,44.52,98.08,148.21,128.26,84.3,INDIAGLYCO
