Report Date,2012-06-30 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1590.43,393.12,569.8,417.17,307.75,263.05,269.81,289.03,329.52,356.06,INDSWFTLTD
Raw Material Cost,1212.57,287.63,385.6,254.13,219.04,169.96,162.24,156.83,191.83,190.99,INDSWFTLTD
Change in Inventory,-144.76,-0.22,-72.89,-99.3,-1.44,3.93,8.09,-3.12,4.1,4.46,INDSWFTLTD
Power and Fuel,11.94,9.07,13.57,11.8,10.9,10.43,11.1,13.0,12.4,9.34,INDSWFTLTD
Other Mfr. Exp,12.61,8.57,15.15,26.18,24.13,26.77,21.29,19.51,22.03,28.42,INDSWFTLTD
Employee Cost,43.62,43.52,48.73,42.87,40.37,42.39,48.27,49.93,52.53,55.79,INDSWFTLTD
Selling and admin,46.38,51.39,53.64,37.89,52.74,61.41,22.4,25.53,28.7,27.83,INDSWFTLTD
Other Expenses,21.86,10.35,12.39,14.9,116.08,21.41,4.71,10.33,2.72,6.75,INDSWFTLTD
Other Income,23.68,1.58,10.86,1.84,12.51,-245.93,-19.59,34.01,22.2,8.04,INDSWFTLTD
Depreciation,23.25,18.48,26.26,39.36,36.35,35.73,34.63,33.97,33.59,32.7,INDSWFTLTD
Interest,120.97,86.41,76.76,39.93,18.97,16.32,7.05,2.62,28.68,46.23,INDSWFTLTD
Profit before tax,-23.85,-120.94,-124.33,-147.35,-199.76,-363.37,-53.38,8.2,-16.66,-29.49,INDSWFTLTD
Tax,-2.84,-9.65,-8.77,-2.23,0.17,0.89,0.75,,2.46,0.32,INDSWFTLTD
Net profit,-21.01,-111.29,-115.56,-145.13,-199.94,-364.27,-54.13,8.19,-19.12,-29.82,INDSWFTLTD
