Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,IVP
Reserves,38.71,40.54,41.74,44.54,52.47,62.86,70.75,71.25,61.43,65.37,IVP
Borrowings,4.0,4.5,4.0,4.0,,13.95,77.62,142.56,99.29,122.33,IVP
Other Liabilities,37.57,35.69,34.54,34.18,42.02,46.9,88.46,50.46,49.15,107.63,IVP
Total,90.61,91.06,90.61,93.05,104.82,134.04,247.16,274.6,220.2,305.66,IVP
Net Block,15.6,15.73,15.06,14.82,15.94,35.33,41.44,59.46,84.43,79.43,IVP
Capital Work in Progress,0.54,0.35,0.28,0.23,1.3,2.34,17.41,26.5,,0.2,IVP
Investments,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,IVP
Other Assets,74.44,74.95,75.24,77.97,87.55,96.35,188.29,188.62,135.75,226.01,IVP
Total,90.61,91.06,90.61,93.05,104.82,134.04,247.16,274.6,220.2,305.66,IVP
Receivables,53.35,53.31,53.73,60.36,55.41,59.73,106.63,122.55,92.27,139.25,IVP
Inventory,11.89,12.56,13.87,11.15,18.37,26.52,59.8,49.1,30.48,72.45,IVP
Cash & Bank,3.33,2.53,2.85,3.17,11.15,3.67,3.46,2.99,0.38,1.86,IVP
No. of Equity Shares,10326263.0,10326263.0,10326263.0,10326263.0,10326263.0,10326263.0,10326263.0,10326263.0,10326263.0,10326263.0,IVP
New Bonus Shares,,,,,,,,,,,IVP
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,IVP
