,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,20.5,20.5,19.7,20.2,36736,JAIBALAJI
1,2021-01-04 00:00:00+05:30,19.75,21.2,19.6,21.2,158647,JAIBALAJI
2,2021-01-05 00:00:00+05:30,21.6,21.95,21.1,21.5,18523,JAIBALAJI
3,2021-01-06 00:00:00+05:30,21.5,22.55,20.45,20.55,89807,JAIBALAJI
4,2021-01-07 00:00:00+05:30,21.2,21.25,19.55,19.95,147346,JAIBALAJI
5,2021-01-08 00:00:00+05:30,20.0,20.0,19.0,19.25,111735,JAIBALAJI
6,2021-01-11 00:00:00+05:30,19.65,20.2,19.6,20.0,94859,JAIBALAJI
7,2021-01-12 00:00:00+05:30,20.35,20.35,19.5,20.0,42424,JAIBALAJI
8,2021-01-13 00:00:00+05:30,20.4,20.9,20.05,20.75,40229,JAIBALAJI
9,2021-01-14 00:00:00+05:30,21.0,21.75,20.6,21.5,98029,JAIBALAJI
10,2021-01-15 00:00:00+05:30,21.05,22.55,21.0,22.25,246836,JAIBALAJI
11,2021-01-18 00:00:00+05:30,22.8,23.35,22.35,23.35,40138,JAIBALAJI
12,2021-01-19 00:00:00+05:30,24.0,24.5,24.0,24.5,70117,JAIBALAJI
13,2021-01-20 00:00:00+05:30,25.7,25.7,25.1,25.7,42457,JAIBALAJI
14,2021-01-21 00:00:00+05:30,26.95,26.95,26.95,26.95,25137,JAIBALAJI
15,2021-01-22 00:00:00+05:30,28.0,28.0,25.65,25.65,61532,JAIBALAJI
16,2021-01-25 00:00:00+05:30,24.4,24.4,24.4,24.4,20021,JAIBALAJI
17,2021-01-27 00:00:00+05:30,23.2,23.45,23.2,23.2,43438,JAIBALAJI
18,2021-01-28 00:00:00+05:30,23.2,23.5,22.05,22.15,20903,JAIBALAJI
19,2021-01-29 00:00:00+05:30,22.4,23.25,21.1,23.05,57796,JAIBALAJI
20,2021-02-01 00:00:00+05:30,23.55,24.2,23.05,23.95,13115,JAIBALAJI
21,2021-02-02 00:00:00+05:30,24.45,24.45,22.8,23.5,7839,JAIBALAJI
22,2021-02-03 00:00:00+05:30,23.0,24.5,23.0,23.35,8395,JAIBALAJI
23,2021-02-04 00:00:00+05:30,23.1,24.35,22.35,23.75,17421,JAIBALAJI
24,2021-02-05 00:00:00+05:30,23.1,23.9,22.75,23.9,13652,JAIBALAJI
25,2021-02-08 00:00:00+05:30,23.45,24.2,22.85,23.85,10773,JAIBALAJI
26,2021-02-09 00:00:00+05:30,23.05,24.15,23.05,24.0,27296,JAIBALAJI
27,2021-02-10 00:00:00+05:30,24.3,24.3,23.15,23.85,9901,JAIBALAJI
28,2021-02-11 00:00:00+05:30,24.1,24.8,23.15,24.3,17155,JAIBALAJI
29,2021-02-12 00:00:00+05:30,25.5,25.5,24.8,25.4,54134,JAIBALAJI
30,2021-02-15 00:00:00+05:30,26.65,26.65,24.15,24.15,32892,JAIBALAJI
31,2021-02-16 00:00:00+05:30,24.9,24.9,24.0,24.0,4871,JAIBALAJI
32,2021-02-17 00:00:00+05:30,24.0,24.5,23.2,24.0,6914,JAIBALAJI
33,2021-02-18 00:00:00+05:30,24.0,24.3,23.6,23.8,5000,JAIBALAJI
34,2021-02-19 00:00:00+05:30,24.75,24.95,24.2,24.95,8166,JAIBALAJI
35,2021-02-22 00:00:00+05:30,25.3,25.8,25.0,25.3,14857,JAIBALAJI
36,2021-02-23 00:00:00+05:30,26.0,26.55,25.5,26.4,16131,JAIBALAJI
37,2021-02-24 00:00:00+05:30,26.4,27.7,25.45,27.65,7265,JAIBALAJI
38,2021-02-25 00:00:00+05:30,27.65,29.0,27.25,28.35,37303,JAIBALAJI
39,2021-02-26 00:00:00+05:30,28.25,29.0,27.5,28.25,12618,JAIBALAJI
40,2021-03-01 00:00:00+05:30,28.25,29.65,27.6,29.65,74771,JAIBALAJI
41,2021-03-02 00:00:00+05:30,31.0,31.1,30.1,31.1,118375,JAIBALAJI
42,2021-03-03 00:00:00+05:30,32.5,32.65,32.0,32.65,113451,JAIBALAJI
43,2021-03-04 00:00:00+05:30,32.5,34.0,32.0,32.5,29703,JAIBALAJI
44,2021-03-05 00:00:00+05:30,32.8,33.6,31.55,32.8,48895,JAIBALAJI
45,2021-03-08 00:00:00+05:30,32.0,33.4,32.0,33.0,117444,JAIBALAJI
46,2021-03-09 00:00:00+05:30,33.0,34.1,31.8,31.85,122907,JAIBALAJI
47,2021-03-10 00:00:00+05:30,33.25,33.25,31.85,32.0,89338,JAIBALAJI
48,2021-03-12 00:00:00+05:30,32.95,33.6,31.0,33.6,53865,JAIBALAJI
49,2021-03-15 00:00:00+05:30,34.6,35.25,32.5,34.7,38062,JAIBALAJI
50,2021-03-16 00:00:00+05:30,35.0,35.0,34.5,34.75,39916,JAIBALAJI
51,2021-03-17 00:00:00+05:30,35.0,36.0,33.05,33.5,37638,JAIBALAJI
52,2021-03-18 00:00:00+05:30,33.6,35.0,33.5,33.55,14835,JAIBALAJI
53,2021-03-19 00:00:00+05:30,34.25,34.95,32.25,34.1,30918,JAIBALAJI
54,2021-03-22 00:00:00+05:30,34.95,35.0,33.0,34.8,64456,JAIBALAJI
55,2021-03-23 00:00:00+05:30,33.35,36.5,33.35,36.5,90976,JAIBALAJI
56,2021-03-24 00:00:00+05:30,37.0,38.3,36.35,36.9,45422,JAIBALAJI
57,2021-03-25 00:00:00+05:30,35.25,38.7,35.25,37.25,25155,JAIBALAJI
58,2021-03-26 00:00:00+05:30,38.0,38.7,37.0,37.9,22788,JAIBALAJI
59,2021-03-30 00:00:00+05:30,38.95,39.0,36.05,37.1,10534,JAIBALAJI
60,2021-03-31 00:00:00+05:30,37.85,37.85,35.7,36.65,2286,JAIBALAJI
61,2021-04-01 00:00:00+05:30,38.25,38.3,36.5,36.7,15875,JAIBALAJI
62,2021-04-05 00:00:00+05:30,36.7,38.5,36.0,36.25,35484,JAIBALAJI
63,2021-04-06 00:00:00+05:30,36.0,37.65,35.05,35.65,23686,JAIBALAJI
64,2021-04-07 00:00:00+05:30,35.5,37.4,35.5,37.4,44472,JAIBALAJI
65,2021-04-08 00:00:00+05:30,39.0,39.0,36.55,38.0,21144,JAIBALAJI
66,2021-04-09 00:00:00+05:30,38.6,38.6,37.0,37.5,4946,JAIBALAJI
67,2021-04-12 00:00:00+05:30,35.9,36.75,35.65,35.65,17783,JAIBALAJI
68,2021-04-13 00:00:00+05:30,35.0,37.05,35.0,36.5,25490,JAIBALAJI
69,2021-04-15 00:00:00+05:30,37.25,38.3,36.0,38.2,29398,JAIBALAJI
70,2021-04-16 00:00:00+05:30,39.2,40.1,36.6,40.05,52335,JAIBALAJI
71,2021-04-19 00:00:00+05:30,40.05,42.0,38.25,39.95,32961,JAIBALAJI
72,2021-04-20 00:00:00+05:30,39.95,41.25,38.3,39.05,10408,JAIBALAJI
73,2021-04-22 00:00:00+05:30,38.25,41.0,38.25,41.0,26246,JAIBALAJI
74,2021-04-23 00:00:00+05:30,41.1,43.05,41.1,43.0,27204,JAIBALAJI
75,2021-04-26 00:00:00+05:30,44.0,45.15,44.0,45.15,27917,JAIBALAJI
76,2021-04-27 00:00:00+05:30,46.95,47.4,43.4,47.4,78215,JAIBALAJI
77,2021-04-28 00:00:00+05:30,48.85,49.75,47.5,49.75,13180,JAIBALAJI
78,2021-04-29 00:00:00+05:30,51.8,52.2,51.8,52.2,20938,JAIBALAJI
79,2021-04-30 00:00:00+05:30,54.8,54.8,53.25,54.8,40436,JAIBALAJI
80,2021-05-03 00:00:00+05:30,57.25,57.5,56.1,57.5,76335,JAIBALAJI
81,2021-05-04 00:00:00+05:30,60.35,60.35,54.65,54.65,372789,JAIBALAJI
82,2021-05-05 00:00:00+05:30,54.65,54.65,51.95,51.95,61014,JAIBALAJI
83,2021-05-06 00:00:00+05:30,49.5,50.0,49.4,49.4,28384,JAIBALAJI
84,2021-05-07 00:00:00+05:30,47.3,51.85,47.0,51.85,168667,JAIBALAJI
85,2021-05-10 00:00:00+05:30,54.35,54.4,52.45,53.85,123620,JAIBALAJI
86,2021-05-11 00:00:00+05:30,53.9,55.3,52.1,53.4,59455,JAIBALAJI
87,2021-05-12 00:00:00+05:30,55.6,55.6,50.75,50.75,78116,JAIBALAJI
88,2021-05-14 00:00:00+05:30,48.5,50.5,48.5,48.9,39278,JAIBALAJI
89,2021-05-17 00:00:00+05:30,49.95,51.0,48.0,49.1,49403,JAIBALAJI
90,2021-05-18 00:00:00+05:30,51.0,51.5,49.4,50.6,42222,JAIBALAJI
91,2021-05-19 00:00:00+05:30,51.65,51.65,48.5,48.75,45254,JAIBALAJI
92,2021-05-20 00:00:00+05:30,49.95,49.95,47.25,47.8,37056,JAIBALAJI
93,2021-05-21 00:00:00+05:30,48.25,49.45,48.2,48.4,20228,JAIBALAJI
94,2021-05-24 00:00:00+05:30,49.35,49.35,46.1,46.75,32045,JAIBALAJI
95,2021-05-25 00:00:00+05:30,46.8,48.25,45.5,45.65,34091,JAIBALAJI
96,2021-05-26 00:00:00+05:30,45.95,46.7,43.4,44.15,152065,JAIBALAJI
97,2021-05-27 00:00:00+05:30,42.35,46.35,42.35,46.05,56452,JAIBALAJI
98,2021-05-28 00:00:00+05:30,48.0,48.3,47.0,47.25,34842,JAIBALAJI
99,2021-05-31 00:00:00+05:30,48.8,49.5,47.45,48.75,93550,JAIBALAJI
100,2021-06-01 00:00:00+05:30,50.4,50.95,46.35,46.45,71269,JAIBALAJI
101,2021-06-02 00:00:00+05:30,48.4,48.4,46.0,47.75,46661,JAIBALAJI
102,2021-06-03 00:00:00+05:30,49.35,49.4,47.0,47.2,23744,JAIBALAJI
103,2021-06-04 00:00:00+05:30,48.35,48.35,45.2,45.55,75106,JAIBALAJI
104,2021-06-07 00:00:00+05:30,45.6,47.5,44.2,47.4,98796,JAIBALAJI
105,2021-06-08 00:00:00+05:30,48.85,49.2,47.25,48.45,86199,JAIBALAJI
106,2021-06-09 00:00:00+05:30,47.65,50.85,47.5,48.0,214696,JAIBALAJI
107,2021-06-10 00:00:00+05:30,48.0,49.55,47.65,48.8,122553,JAIBALAJI
108,2021-06-11 00:00:00+05:30,50.7,51.15,49.35,50.05,190660,JAIBALAJI
109,2021-06-14 00:00:00+05:30,48.6,52.25,48.6,51.0,224727,JAIBALAJI
110,2021-06-15 00:00:00+05:30,52.9,52.9,49.6,49.95,151540,JAIBALAJI
111,2021-06-16 00:00:00+05:30,51.0,51.0,47.5,48.05,45271,JAIBALAJI
112,2021-06-17 00:00:00+05:30,47.5,50.45,47.5,49.95,323568,JAIBALAJI
113,2021-06-18 00:00:00+05:30,50.45,50.45,48.5,49.0,196110,JAIBALAJI
114,2021-06-21 00:00:00+05:30,50.0,51.45,48.85,51.4,169577,JAIBALAJI
115,2021-06-22 00:00:00+05:30,53.8,53.85,52.0,52.6,214213,JAIBALAJI
116,2021-06-23 00:00:00+05:30,52.6,54.0,52.6,53.55,136051,JAIBALAJI
117,2021-06-24 00:00:00+05:30,53.55,54.6,53.0,53.5,56470,JAIBALAJI
118,2021-06-25 00:00:00+05:30,52.5,56.15,52.25,55.0,103080,JAIBALAJI
119,2021-06-28 00:00:00+05:30,55.0,56.9,54.4,54.9,41441,JAIBALAJI
120,2021-06-29 00:00:00+05:30,54.85,56.45,52.2,52.55,114878,JAIBALAJI
121,2021-06-30 00:00:00+05:30,53.55,54.95,51.45,54.15,77369,JAIBALAJI
122,2021-07-01 00:00:00+05:30,56.8,56.8,51.45,51.6,149241,JAIBALAJI
123,2021-07-02 00:00:00+05:30,52.9,53.5,51.0,51.4,40855,JAIBALAJI
124,2021-07-05 00:00:00+05:30,51.4,52.35,49.1,50.4,70446,JAIBALAJI
125,2021-07-06 00:00:00+05:30,50.4,51.9,49.9,50.1,34092,JAIBALAJI
126,2021-07-07 00:00:00+05:30,51.6,51.7,50.3,50.5,30696,JAIBALAJI
127,2021-07-08 00:00:00+05:30,50.5,52.15,50.1,51.9,93662,JAIBALAJI
128,2021-07-09 00:00:00+05:30,52.95,54.45,52.5,54.45,285234,JAIBALAJI
129,2021-07-12 00:00:00+05:30,57.15,57.15,56.6,57.15,170404,JAIBALAJI
130,2021-07-13 00:00:00+05:30,60.0,60.0,60.0,60.0,28182,JAIBALAJI
131,2021-07-14 00:00:00+05:30,63.0,63.0,63.0,63.0,36811,JAIBALAJI
132,2021-07-15 00:00:00+05:30,66.15,66.15,66.15,66.15,69516,JAIBALAJI
133,2021-07-16 00:00:00+05:30,69.45,69.45,62.85,63.85,1074093,JAIBALAJI
134,2021-07-19 00:00:00+05:30,61.25,66.0,61.0,63.6,174051,JAIBALAJI
135,2021-07-20 00:00:00+05:30,62.05,63.8,60.45,61.0,141620,JAIBALAJI
136,2021-07-22 00:00:00+05:30,63.05,64.05,61.5,61.95,76756,JAIBALAJI
137,2021-07-23 00:00:00+05:30,62.9,63.8,60.5,61.0,70329,JAIBALAJI
138,2021-07-26 00:00:00+05:30,61.2,63.85,61.05,61.65,87073,JAIBALAJI
139,2021-07-27 00:00:00+05:30,62.7,63.9,60.85,61.25,64348,JAIBALAJI
140,2021-07-28 00:00:00+05:30,62.0,62.9,60.25,61.45,52626,JAIBALAJI
141,2021-07-29 00:00:00+05:30,61.45,64.5,60.9,64.5,103999,JAIBALAJI
142,2021-07-30 00:00:00+05:30,67.7,67.7,65.05,67.7,450848,JAIBALAJI
143,2021-08-02 00:00:00+05:30,70.0,71.05,64.95,65.7,324682,JAIBALAJI
144,2021-08-03 00:00:00+05:30,67.8,68.95,65.75,68.65,242304,JAIBALAJI
145,2021-08-04 00:00:00+05:30,68.65,68.8,65.6,67.45,94151,JAIBALAJI
146,2021-08-05 00:00:00+05:30,68.4,68.8,64.1,65.55,137804,JAIBALAJI
147,2021-08-06 00:00:00+05:30,66.9,68.8,66.9,68.2,109804,JAIBALAJI
148,2021-08-09 00:00:00+05:30,68.2,69.8,65.0,65.7,72582,JAIBALAJI
149,2021-08-10 00:00:00+05:30,65.7,67.55,62.45,62.45,91622,JAIBALAJI
150,2021-08-11 00:00:00+05:30,59.55,63.0,59.35,62.35,283766,JAIBALAJI
151,2021-08-12 00:00:00+05:30,63.6,64.1,62.0,62.9,209890,JAIBALAJI
152,2021-08-13 00:00:00+05:30,63.0,65.0,62.95,64.8,81527,JAIBALAJI
153,2021-08-16 00:00:00+05:30,66.0,66.25,63.95,64.9,99536,JAIBALAJI
154,2021-08-17 00:00:00+05:30,64.9,66.0,64.35,65.4,153357,JAIBALAJI
155,2021-08-18 00:00:00+05:30,65.45,66.85,64.95,65.9,64444,JAIBALAJI
156,2021-08-20 00:00:00+05:30,65.5,65.5,62.65,64.45,298121,JAIBALAJI
157,2021-08-23 00:00:00+05:30,61.3,65.8,61.25,61.25,295012,JAIBALAJI
158,2021-08-24 00:00:00+05:30,61.25,61.4,58.2,59.45,90014,JAIBALAJI
159,2021-08-25 00:00:00+05:30,59.7,61.9,59.0,59.55,23262,JAIBALAJI
