Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,616.95,669.48,699.51,684.72,696.02,538.42,551.14,560.67,486.49,536.74,JAYSREETEA
Raw Material Cost,286.24,304.15,311.63,305.81,269.0,148.05,150.33,164.2,110.79,92.83,JAYSREETEA
Change in Inventory,17.22,38.04,-9.21,6.74,-15.35,0.41,-6.98,20.11,-25.41,-17.36,JAYSREETEA
Power and Fuel,35.26,36.8,40.75,41.97,40.86,40.9,42.74,45.96,44.25,34.63,JAYSREETEA
Other Mfr. Exp,54.08,58.52,62.78,64.44,63.73,49.56,48.31,47.9,42.07,41.53,JAYSREETEA
Employee Cost,148.0,165.04,172.99,187.11,214.86,216.72,210.91,228.26,234.83,219.79,JAYSREETEA
Selling and admin,43.18,38.44,46.87,45.13,48.57,48.14,47.24,39.16,35.8,31.92,JAYSREETEA
Other Expenses,22.19,28.15,35.97,29.89,21.2,17.3,20.74,23.16,28.92,23.38,JAYSREETEA
Other Income,26.61,27.93,45.26,22.62,23.72,26.65,27.19,28.49,80.17,29.49,JAYSREETEA
Depreciation,14.97,13.1,15.18,13.59,16.38,14.69,14.54,15.93,17.44,15.93,JAYSREETEA
Interest,39.55,38.21,47.26,47.3,46.06,35.41,33.56,39.61,42.24,30.68,JAYSREETEA
Profit before tax,17.31,53.04,2.13,-21.16,-16.27,-5.29,2.98,5.09,-15.09,58.18,JAYSREETEA
Tax,2.99,12.97,-1.21,-2.14,2.89,4.58,-0.41,1.98,12.8,0.47,JAYSREETEA
Net profit,14.32,40.07,3.34,-19.02,-19.16,-9.87,3.39,3.1,-27.88,57.71,JAYSREETEA
