Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,17.55,24.1,24.1,24.1,37.64,44.12,60.9,60.9,60.9,64.4,JHS
Reserves,82.33,49.8,20.97,77.74,57.47,86.05,115.74,119.09,120.6,126.83,JHS
Borrowings,66.51,101.65,54.0,18.72,2.47,2.19,2.46,7.02,2.56,2.47,JHS
Other Liabilities,41.69,40.98,74.16,32.93,25.14,23.22,26.33,32.68,45.57,21.26,JHS
Total,208.08,216.53,173.23,153.49,122.72,155.58,205.43,219.69,229.63,214.96,JHS
Net Block,51.89,135.2,120.79,107.85,65.06,64.97,71.29,69.11,57.83,58.69,JHS
Capital Work in Progress,24.45,0.01,0.03,0.03,0.68,0.67,0.42,4.74,6.98,8.85,JHS
Investments,0.45,0.01,0.01,0.01,0.01,1.04,18.2,15.36,16.52,14.21,JHS
Other Assets,131.29,81.31,52.4,45.6,56.97,88.9,115.52,130.48,148.3,133.21,JHS
Total,208.08,216.53,173.23,153.49,122.72,155.58,205.43,219.69,229.63,214.96,JHS
Receivables,81.11,24.61,5.78,12.31,6.91,13.66,42.66,56.08,95.31,58.69,JHS
Inventory,13.78,7.01,6.89,10.44,10.72,10.72,9.18,8.52,3.65,9.19,JHS
Cash & Bank,0.26,0.79,2.34,0.96,2.88,5.86,5.89,0.6,0.51,16.88,JHS
No. of Equity Shares,17550007.0,24095252.0,24095252.0,24095252.0,37635000.0,44120465.0,60900465.0,60900465.0,60900465.0,64400465.0,JHS
New Bonus Shares,,,,,,,,,,,JHS
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,JHS
