,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,7.75,7.75,7.55,7.75,21431032,JPASSOCIAT
1,2021-01-04 00:00:00+05:30,8.1,8.1,7.4,7.65,55375380,JPASSOCIAT
2,2021-01-05 00:00:00+05:30,7.7,7.85,7.5,7.7,11027329,JPASSOCIAT
3,2021-01-06 00:00:00+05:30,7.9,8.05,7.8,8.05,31618116,JPASSOCIAT
4,2021-01-07 00:00:00+05:30,8.45,8.45,8.3,8.45,18162609,JPASSOCIAT
5,2021-01-08 00:00:00+05:30,8.75,8.85,8.05,8.05,33361607,JPASSOCIAT
6,2021-01-11 00:00:00+05:30,8.05,8.45,7.75,7.9,13392134,JPASSOCIAT
7,2021-01-12 00:00:00+05:30,7.8,8.25,7.55,8.0,11967926,JPASSOCIAT
8,2021-01-13 00:00:00+05:30,8.1,8.3,7.8,7.85,10544618,JPASSOCIAT
9,2021-01-14 00:00:00+05:30,7.9,7.95,7.55,7.65,6994380,JPASSOCIAT
10,2021-01-15 00:00:00+05:30,7.65,7.65,7.35,7.4,6287975,JPASSOCIAT
11,2021-01-18 00:00:00+05:30,7.4,7.55,7.05,7.05,7578827,JPASSOCIAT
12,2021-01-19 00:00:00+05:30,7.0,7.4,7.0,7.3,12601315,JPASSOCIAT
13,2021-01-20 00:00:00+05:30,7.3,7.65,7.05,7.6,21334948,JPASSOCIAT
14,2021-01-21 00:00:00+05:30,7.5,7.65,7.25,7.25,20393547,JPASSOCIAT
15,2021-01-22 00:00:00+05:30,7.25,7.4,6.95,7.1,8985843,JPASSOCIAT
16,2021-01-25 00:00:00+05:30,7.1,7.3,6.85,6.95,4714736,JPASSOCIAT
17,2021-01-27 00:00:00+05:30,6.95,7.0,6.65,6.85,8399307,JPASSOCIAT
18,2021-01-28 00:00:00+05:30,6.65,7.15,6.65,6.9,8748563,JPASSOCIAT
19,2021-01-29 00:00:00+05:30,6.95,7.2,6.8,6.95,7564787,JPASSOCIAT
20,2021-02-01 00:00:00+05:30,7.15,7.25,6.95,7.2,9200161,JPASSOCIAT
21,2021-02-02 00:00:00+05:30,7.45,7.45,7.05,7.2,11121071,JPASSOCIAT
22,2021-02-03 00:00:00+05:30,7.2,7.25,7.0,7.05,4859390,JPASSOCIAT
23,2021-02-04 00:00:00+05:30,7.05,7.1,6.95,7.0,3974341,JPASSOCIAT
24,2021-02-05 00:00:00+05:30,7.0,7.05,6.75,6.75,4641945,JPASSOCIAT
25,2021-02-08 00:00:00+05:30,6.75,7.05,6.6,7.05,7375527,JPASSOCIAT
26,2021-02-09 00:00:00+05:30,7.4,7.4,7.2,7.3,16358168,JPASSOCIAT
27,2021-02-10 00:00:00+05:30,7.3,7.35,6.95,7.0,8177261,JPASSOCIAT
28,2021-02-11 00:00:00+05:30,6.95,7.15,6.9,6.95,4552111,JPASSOCIAT
29,2021-02-12 00:00:00+05:30,7.15,7.15,6.9,7.0,5387056,JPASSOCIAT
30,2021-02-15 00:00:00+05:30,7.25,7.35,7.05,7.35,11816553,JPASSOCIAT
31,2021-02-16 00:00:00+05:30,7.5,7.7,7.15,7.3,14749002,JPASSOCIAT
32,2021-02-17 00:00:00+05:30,7.3,7.4,7.2,7.25,3546746,JPASSOCIAT
33,2021-02-18 00:00:00+05:30,7.3,7.4,7.1,7.25,5954580,JPASSOCIAT
34,2021-02-19 00:00:00+05:30,7.45,7.45,6.95,7.0,4762271,JPASSOCIAT
35,2021-02-22 00:00:00+05:30,7.0,7.15,7.0,7.0,4140212,JPASSOCIAT
36,2021-02-23 00:00:00+05:30,7.05,7.35,7.0,7.35,7036372,JPASSOCIAT
37,2021-02-24 00:00:00+05:30,7.45,7.7,7.4,7.7,17031620,JPASSOCIAT
38,2021-02-25 00:00:00+05:30,7.85,8.05,7.85,8.05,10199967,JPASSOCIAT
39,2021-02-26 00:00:00+05:30,7.95,8.45,7.75,8.45,36121595,JPASSOCIAT
40,2021-03-01 00:00:00+05:30,8.85,8.85,8.85,8.85,8195651,JPASSOCIAT
41,2021-03-02 00:00:00+05:30,9.25,9.25,9.15,9.25,22616648,JPASSOCIAT
42,2021-03-03 00:00:00+05:30,9.7,9.7,8.8,8.8,28243075,JPASSOCIAT
43,2021-03-04 00:00:00+05:30,8.4,9.2,8.4,9.2,28977008,JPASSOCIAT
44,2021-03-05 00:00:00+05:30,9.2,9.45,8.75,8.8,19826988,JPASSOCIAT
45,2021-03-08 00:00:00+05:30,8.9,9.1,8.55,8.75,8005786,JPASSOCIAT
46,2021-03-09 00:00:00+05:30,8.9,8.9,8.35,8.35,10651603,JPASSOCIAT
47,2021-03-10 00:00:00+05:30,8.4,8.55,7.95,8.0,12551362,JPASSOCIAT
48,2021-03-12 00:00:00+05:30,8.1,8.4,8.05,8.3,12550324,JPASSOCIAT
49,2021-03-15 00:00:00+05:30,8.4,8.4,7.9,8.25,14358065,JPASSOCIAT
50,2021-03-16 00:00:00+05:30,8.25,8.25,7.85,7.85,9425105,JPASSOCIAT
51,2021-03-17 00:00:00+05:30,7.6,7.6,7.5,7.5,6542272,JPASSOCIAT
52,2021-03-18 00:00:00+05:30,7.15,7.5,7.15,7.15,15172146,JPASSOCIAT
53,2021-03-19 00:00:00+05:30,6.8,7.0,6.8,6.9,18623684,JPASSOCIAT
54,2021-03-22 00:00:00+05:30,7.0,7.15,6.85,7.0,9175122,JPASSOCIAT
55,2021-03-23 00:00:00+05:30,7.05,7.35,7.05,7.35,6422153,JPASSOCIAT
56,2021-03-24 00:00:00+05:30,7.6,7.7,7.45,7.65,15193040,JPASSOCIAT
57,2021-03-25 00:00:00+05:30,7.8,7.85,7.3,7.3,6781428,JPASSOCIAT
58,2021-03-26 00:00:00+05:30,7.05,7.5,6.95,7.3,17958871,JPASSOCIAT
59,2021-03-30 00:00:00+05:30,7.3,7.4,6.95,7.0,6900503,JPASSOCIAT
60,2021-03-31 00:00:00+05:30,6.95,7.05,6.8,6.9,6876496,JPASSOCIAT
61,2021-04-01 00:00:00+05:30,7.0,7.2,6.95,7.1,5127028,JPASSOCIAT
62,2021-04-05 00:00:00+05:30,7.15,7.2,6.85,7.0,8252089,JPASSOCIAT
63,2021-04-06 00:00:00+05:30,7.05,7.35,6.95,7.15,6539001,JPASSOCIAT
64,2021-04-07 00:00:00+05:30,7.25,7.5,7.15,7.5,9178940,JPASSOCIAT
65,2021-04-08 00:00:00+05:30,8.0,8.7,7.85,8.3,32471256,JPASSOCIAT
