Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,222.37,297.13,334.06,401.62,465.3,531.07,588.33,628.39,711.73,690.36,KOVAI
Raw Material Cost,74.33,92.85,106.28,121.79,67.11,159.74,172.08,187.37,204.8,193.55,KOVAI
Change in Inventory,0.75,1.11,0.45,-0.63,-76.81,,,,,,KOVAI
Power and Fuel,8.36,10.26,9.49,9.74,10.2,10.42,7.34,8.64,8.66,8.36,KOVAI
Other Mfr. Exp,55.3,67.14,81.85,98.65,122.44,125.38,150.69,156.53,47.78,43.28,KOVAI
Employee Cost,32.51,48.69,52.7,64.61,79.39,87.76,97.82,111.66,125.01,118.78,KOVAI
Selling and admin,9.23,9.04,11.33,11.93,16.17,12.09,19.14,21.51,144.56,120.21,KOVAI
Other Expenses,,0.02,,-0.01,1.47,10.99,11.77,7.81,9.45,10.73,KOVAI
Other Income,1.56,3.06,4.7,6.73,7.75,6.18,7.14,8.24,10.19,11.77,KOVAI
Depreciation,12.13,14.51,16.3,21.2,20.64,23.81,34.33,35.53,52.12,68.03,KOVAI
Interest,16.58,27.46,23.94,20.38,16.66,14.72,12.86,14.73,17.63,33.46,KOVAI
Profit before tax,16.24,31.33,37.32,59.43,62.16,92.34,89.44,92.85,111.91,105.73,KOVAI
Tax,4.29,10.08,13.6,20.73,21.73,32.36,31.45,32.7,17.32,28.05,KOVAI
Net profit,11.95,21.25,23.72,38.7,40.43,59.97,57.98,60.14,94.59,77.69,KOVAI
