Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,230.3,967.65,802.85,KPITTECH
Raw Material Cost,,,,,,,,0.23,7.82,0.05,KPITTECH
Change in Inventory,,,,,,,,,-0.67,,KPITTECH
Power and Fuel,,,,,,,,1.73,7.73,5.05,KPITTECH
Other Mfr. Exp,,,,,,,,6.99,36.12,40.83,KPITTECH
Employee Cost,,,,,,,,104.07,534.95,487.57,KPITTECH
Selling and admin,,,,,,,0.27,29.39,79.89,38.46,KPITTECH
Other Expenses,,,,,,,,10.2,25.19,52.19,KPITTECH
Other Income,,,,,,,,25.64,33.63,20.4,KPITTECH
Depreciation,,,,,,,,15.77,85.99,91.11,KPITTECH
Interest,,,,,,,,6.13,15.31,8.64,KPITTECH
Profit before tax,,,,,,,-0.27,81.43,207.61,99.35,KPITTECH
Tax,,,,,,,,6.98,17.84,5.82,KPITTECH
Net profit,,,,,,,-0.27,74.45,189.77,93.53,KPITTECH
