Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,889.97,920.3,969.26,1026.73,1064.28,1146.41,1315.0,1582.1,1444.27,1531.47,LGBBROSLTD
Raw Material Cost,498.65,473.05,487.0,496.0,484.99,507.89,597.48,751.0,639.52,684.09,LGBBROSLTD
Change in Inventory,34.15,-9.9,3.82,9.87,6.52,0.28,6.94,40.48,-8.23,-6.81,LGBBROSLTD
Power and Fuel,31.99,36.22,40.47,42.85,47.9,49.47,55.12,68.17,67.69,66.26,LGBBROSLTD
Other Mfr. Exp,153.91,158.4,150.46,173.76,182.44,187.52,212.0,261.13,218.3,199.16,LGBBROSLTD
Employee Cost,86.7,96.54,115.17,129.83,151.76,167.24,189.39,240.39,238.87,227.39,LGBBROSLTD
Selling and admin,59.84,71.02,82.55,78.15,97.66,76.89,81.32,92.22,82.98,82.92,LGBBROSLTD
Other Expenses,-9.04,-14.51,-14.65,-13.51,-19.74,7.84,2.79,6.08,1.78,2.48,LGBBROSLTD
Other Income,1.86,4.12,4.74,8.91,4.16,5.52,4.03,14.82,28.87,20.59,LGBBROSLTD
Depreciation,28.32,29.11,31.37,37.34,43.09,49.36,54.13,63.97,74.18,77.49,LGBBROSLTD
Interest,17.44,22.48,16.91,16.32,16.48,14.22,10.98,11.79,15.04,9.98,LGBBROSLTD
Profit before tax,58.17,42.21,68.54,84.77,70.38,91.78,122.76,142.65,126.55,195.48,LGBBROSLTD
Tax,14.65,8.53,14.19,20.37,12.92,25.73,42.66,45.99,24.71,47.28,LGBBROSLTD
Net profit,43.52,33.68,54.34,64.4,57.45,66.05,80.1,96.65,101.83,148.21,LGBBROSLTD
