Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,10.01,10.01,10.01,50.05,45.02,52.73,LXCHEM
Reserves,,,,,223.84,294.03,369.62,405.46,395.9,991.77,LXCHEM
Borrowings,,,,,198.88,79.35,194.22,142.68,138.25,74.75,LXCHEM
Other Liabilities,,,,,157.55,226.87,258.3,359.47,445.07,615.51,LXCHEM
Total,,,,,590.28,610.26,832.15,957.66,1024.24,1734.76,LXCHEM
Net Block,,,,,207.05,194.98,272.74,327.41,326.85,315.41,LXCHEM
Capital Work in Progress,,,,,32.94,48.23,29.95,31.48,22.93,59.88,LXCHEM
Investments,,,,,18.76,22.79,20.38,19.79,21.26,25.15,LXCHEM
Other Assets,,,,,331.53,344.26,509.08,578.98,653.2,1334.32,LXCHEM
Total,,,,,590.28,610.26,832.15,957.66,1024.24,1734.76,LXCHEM
Receivables,,,,,149.66,214.53,288.91,303.96,316.65,384.69,LXCHEM
Inventory,,,,,108.13,63.69,122.83,128.15,144.36,170.31,LXCHEM
Cash & Bank,,,,,10.53,14.54,7.12,44.04,33.84,534.21,LXCHEM
No. of Equity Shares,,,,,10005081.0,,10009081.0,50045405.0,45016395.0,263662773.0,LXCHEM
New Bonus Shares,,,,,,,,40036324.0,,,LXCHEM
Face value,,,,,10.0,10.0,10.0,10.0,10.0,2.0,LXCHEM
