Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.05,6.55,6.55,6.55,6.55,6.55,6.55,6.55,MANAKCOAT
Reserves,,,81.21,72.88,75.79,80.04,82.79,83.08,87.98,94.49,MANAKCOAT
Borrowings,,,54.81,67.74,52.04,57.98,119.46,123.51,132.68,142.88,MANAKCOAT
Other Liabilities,,,124.85,69.38,73.47,84.64,90.89,133.08,145.94,188.13,MANAKCOAT
Total,,,260.92,216.55,207.85,229.21,299.69,346.22,373.15,432.05,MANAKCOAT
Net Block,,,92.99,80.81,72.67,95.66,152.36,143.88,140.2,131.88,MANAKCOAT
Capital Work in Progress,,,22.04,33.37,45.21,35.01,3.76,47.26,44.8,51.12,MANAKCOAT
Investments,,,,,0.09,0.14,9.82,9.82,9.82,9.82,MANAKCOAT
Other Assets,,,145.89,102.37,89.88,98.4,133.75,145.26,178.33,239.23,MANAKCOAT
Total,,,260.92,216.55,207.85,229.21,299.69,346.22,373.15,432.05,MANAKCOAT
Receivables,,,68.97,23.87,44.08,43.36,29.77,23.84,23.87,45.87,MANAKCOAT
Inventory,,,48.73,45.62,20.27,29.51,49.53,86.56,122.74,151.79,MANAKCOAT
Cash & Bank,,,0.38,2.91,1.2,0.59,9.44,4.61,9.72,14.86,MANAKCOAT
No. of Equity Shares,,,500000.0,65534050.0,65534050.0,65534050.0,65534050.0,65534050.0,65534050.0,65534050.0,MANAKCOAT
New Bonus Shares,,,,,,,,,,,MANAKCOAT
Face value,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MANAKCOAT
