Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,212.52,329.28,289.33,334.0,493.5,688.71,487.8,387.96,MANAKSTEEL
Raw Material Cost,,,170.58,242.67,220.58,261.58,403.32,605.74,417.33,299.39,MANAKSTEEL
Change in Inventory,,,11.58,-10.29,-2.43,-4.17,0.75,2.02,-0.91,3.58,MANAKSTEEL
Power and Fuel,,,6.57,12.97,10.7,9.86,14.23,15.65,14.7,16.04,MANAKSTEEL
Other Mfr. Exp,,,5.66,9.44,12.26,9.38,14.43,14.56,10.23,24.8,MANAKSTEEL
Employee Cost,,,3.39,6.89,4.95,6.69,11.08,13.0,13.63,12.33,MANAKSTEEL
Selling and admin,,,17.13,26.3,14.49,8.74,7.11,7.63,8.36,6.18,MANAKSTEEL
Other Expenses,0.02,,1.96,4.82,6.93,8.53,9.57,11.02,8.24,5.08,MANAKSTEEL
Other Income,,,4.94,6.29,1.03,1.51,2.47,1.56,2.8,6.03,MANAKSTEEL
Depreciation,,,1.93,7.99,7.49,7.59,6.52,5.45,5.86,5.75,MANAKSTEEL
Interest,,,6.39,3.07,2.32,4.43,3.92,2.73,1.58,1.14,MANAKSTEEL
Profit before tax,-0.02,,15.43,11.13,8.21,14.54,26.54,16.51,9.76,26.86,MANAKSTEEL
Tax,,,4.91,2.95,3.24,5.41,9.89,6.2,1.06,7.17,MANAKSTEEL
Net profit,-0.02,,10.52,8.18,4.98,9.14,16.66,10.32,8.7,19.68,MANAKSTEEL
