Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,535.91,558.89,653.35,648.43,618.83,666.43,640.72,757.14,675.94,632.02,MARALOVER
Raw Material Cost,344.29,331.99,398.79,385.36,359.0,406.17,420.36,488.73,424.65,377.65,MARALOVER
Change in Inventory,-6.05,-0.5,12.18,-3.39,-4.99,5.63,30.62,7.84,-8.61,10.57,MARALOVER
Power and Fuel,40.69,47.21,41.66,45.24,51.88,48.27,48.41,49.98,51.14,47.18,MARALOVER
Other Mfr. Exp,36.53,36.06,42.56,51.84,38.85,42.63,49.31,53.16,46.61,41.72,MARALOVER
Employee Cost,41.39,45.19,51.13,64.95,76.8,85.99,88.06,93.42,98.65,84.21,MARALOVER
Selling and admin,23.91,29.12,31.45,26.14,26.44,28.4,25.69,28.99,24.14,23.53,MARALOVER
Other Expenses,4.55,10.75,11.27,12.95,14.25,14.95,14.17,14.57,14.49,14.58,MARALOVER
Other Income,5.45,7.67,-0.77,13.66,11.5,15.38,12.34,14.52,17.18,7.69,MARALOVER
Depreciation,19.02,18.89,38.11,35.4,25.26,22.59,18.4,20.32,24.41,23.99,MARALOVER
Interest,26.88,22.67,18.64,19.25,19.26,17.9,18.68,16.98,15.7,16.55,MARALOVER
Profit before tax,-1.95,24.18,31.15,17.57,13.6,20.54,0.6,13.35,-15.28,20.87,MARALOVER
Tax,,,1.69,0.87,3.39,6.7,-0.39,5.21,,8.34,MARALOVER
Net profit,-1.95,24.18,29.47,16.7,10.21,13.83,0.99,8.13,-15.28,12.53,MARALOVER
