Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,81.92,46.06,29.55,23.32,197.28,193.14,69.31,80.82,81.27,54.39,MARATHON
Raw Material Cost,,,,,,,,,,,MARATHON
Change in Inventory,-9.75,-22.37,-16.02,-4.62,-125.87,-112.05,262.16,13.05,9.99,33.15,MARATHON
Power and Fuel,0.42,0.04,0.02,0.11,0.05,0.03,0.01,0.02,0.02,0.01,MARATHON
Other Mfr. Exp,1.93,5.7,0.01,0.25,0.01,12.48,273.9,25.86,25.31,35.11,MARATHON
Employee Cost,4.07,4.07,4.3,3.63,3.56,3.69,5.22,6.17,6.34,3.09,MARATHON
Selling and admin,0.98,0.98,0.64,1.94,6.41,5.25,5.59,7.49,4.63,1.73,MARATHON
Other Expenses,1.38,0.97,3.29,7.75,1.04,2.81,3.52,2.18,1.68,1.02,MARATHON
Other Income,33.95,39.5,42.18,47.81,50.74,55.43,0.62,10.89,18.76,22.99,MARATHON
Depreciation,0.42,0.27,0.14,0.31,0.29,0.15,0.76,1.8,4.56,5.0,MARATHON
Interest,9.08,3.47,0.19,0.01,0.01,0.3,4.56,21.16,28.67,30.55,MARATHON
Profit before tax,87.84,47.69,47.12,52.51,110.78,111.81,38.53,40.08,38.81,34.02,MARATHON
Tax,16.81,-2.18,10.63,14.1,23.79,23.86,7.61,5.83,4.41,5.6,MARATHON
Net profit,71.03,49.87,36.49,38.41,86.98,87.96,30.91,34.24,34.4,28.42,MARATHON
