Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,103.08,120.5,102.61,117.81,122.03,110.4,107.39,138.63,179.68,152.42,MAZDA
Raw Material Cost,57.96,64.21,63.12,59.81,62.7,56.08,54.75,86.84,103.01,75.42,MAZDA
Change in Inventory,3.29,-3.32,6.86,-3.47,0.77,-0.78,0.71,11.14,-1.42,-4.72,MAZDA
Power and Fuel,0.74,0.9,0.9,0.81,0.79,0.77,0.75,0.79,0.86,0.74,MAZDA
Other Mfr. Exp,14.54,12.82,11.09,12.28,16.53,13.61,12.12,15.25,19.6,17.51,MAZDA
Employee Cost,9.4,10.05,10.8,12.79,13.78,13.33,13.7,15.15,17.3,18.48,MAZDA
Selling and admin,8.76,10.16,8.48,10.81,10.25,11.95,10.82,12.69,11.09,11.5,MAZDA
Other Expenses,0.01,-0.25,-0.05,0.56,0.75,0.78,1.94,0.28,1.3,0.34,MAZDA
Other Income,1.47,1.53,1.94,1.4,2.05,4.96,4.07,3.47,1.72,2.36,MAZDA
Depreciation,1.02,1.43,1.35,2.13,2.28,2.64,3.06,2.94,3.46,3.27,MAZDA
Interest,1.13,0.64,0.94,0.5,0.87,0.47,0.59,0.76,0.94,0.71,MAZDA
Profit before tax,14.28,18.75,14.78,16.05,16.9,14.95,14.44,18.54,22.42,22.09,MAZDA
Tax,4.29,6.38,4.52,4.82,4.87,2.03,4.15,4.44,5.78,5.76,MAZDA
Net profit,9.99,12.37,10.25,11.23,12.04,12.92,10.3,14.1,16.65,16.33,MAZDA
