Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,50.77,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,MCX
Reserves,946.12,1103.65,1093.1,1151.18,1238.76,1307.77,1325.27,1411.85,1495.52,1529.36,MCX
Borrowings,,,,,,,,,,,MCX
Other Liabilities,876.81,631.13,597.47,622.08,568.49,507.01,585.03,161.21,220.04,203.05,MCX
Total,1873.7,1785.78,1741.57,1824.26,1858.25,1865.78,1961.3,1624.06,1766.56,1783.41,MCX
Net Block,187.57,203.44,173.28,142.82,136.98,151.78,156.23,156.86,157.47,158.13,MCX
Capital Work in Progress,0.14,0.98,0.24,2.28,3.13,0.36,5.54,18.95,23.1,25.89,MCX
Investments,1150.21,1068.23,1089.82,1292.65,1110.95,1194.8,1416.13,1252.01,1420.71,1444.64,MCX
Other Assets,535.78,513.13,478.23,386.51,607.19,518.84,383.4,196.24,165.28,154.75,MCX
Total,1873.7,1785.78,1741.57,1824.26,1858.25,1865.78,1961.3,1624.06,1766.56,1783.41,MCX
Receivables,49.22,6.93,8.99,10.65,4.19,2.81,6.31,9.08,6.93,10.97,MCX
Inventory,,,,,,,,,,,MCX
Cash & Bank,312.4,347.53,341.73,265.52,500.27,19.24,59.6,36.9,16.27,4.32,MCX
No. of Equity Shares,50766063.0,50998370.0,50998370.0,50998369.0,50998369.0,50998369.0,50998369.0,50998369.0,50998369.0,50998369.0,MCX
New Bonus Shares,,,,,,,,,,,MCX
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MCX
