,date,open,high,low,close,volume,Company_Name
0,2021-10-27 00:00:00+05:30,552.1,574.3,547.0,552.0,5715,MEDICAMEQ
1,2021-10-28 00:00:00+05:30,552.5,552.5,540.2,550.55,1202,MEDICAMEQ
2,2021-10-29 00:00:00+05:30,539.55,570.05,539.55,563.95,3891,MEDICAMEQ
3,2021-11-01 00:00:00+05:30,540.0,574.85,540.0,561.7,3197,MEDICAMEQ
4,2021-11-02 00:00:00+05:30,568.05,628.0,555.2,592.45,15526,MEDICAMEQ
5,2021-11-03 00:00:00+05:30,603.95,619.0,585.05,602.55,7076,MEDICAMEQ
6,2021-11-04 00:00:00+05:30,685.0,714.85,630.15,698.7,114111,MEDICAMEQ
7,2021-11-08 00:00:00+05:30,697.0,738.0,654.05,690.6,53490,MEDICAMEQ
8,2021-11-09 00:00:00+05:30,680.0,696.35,655.25,660.7,7441,MEDICAMEQ
9,2021-11-10 00:00:00+05:30,674.0,688.7,649.0,664.35,13894,MEDICAMEQ
10,2021-11-11 00:00:00+05:30,655.05,695.0,640.55,649.85,6671,MEDICAMEQ
11,2021-11-12 00:00:00+05:30,675.0,684.9,610.7,640.3,10343,MEDICAMEQ
12,2021-11-15 00:00:00+05:30,675.0,675.0,621.35,634.45,4501,MEDICAMEQ
13,2021-11-16 00:00:00+05:30,659.9,659.9,606.95,650.15,8752,MEDICAMEQ
14,2021-11-17 00:00:00+05:30,650.05,668.95,630.95,651.55,7863,MEDICAMEQ
15,2021-11-18 00:00:00+05:30,651.6,659.8,612.4,622.5,6097,MEDICAMEQ
16,2021-11-22 00:00:00+05:30,664.0,664.0,541.6,582.4,14346,MEDICAMEQ
17,2021-11-23 00:00:00+05:30,590.0,607.7,576.0,594.55,4251,MEDICAMEQ
18,2021-11-24 00:00:00+05:30,589.95,607.0,589.95,597.05,2426,MEDICAMEQ
19,2021-11-25 00:00:00+05:30,614.0,625.0,595.0,617.85,6026,MEDICAMEQ
20,2021-11-26 00:00:00+05:30,600.05,625.95,596.45,599.0,2909,MEDICAMEQ
21,2021-11-29 00:00:00+05:30,599.0,609.75,577.9,590.1,5081,MEDICAMEQ
22,2021-11-30 00:00:00+05:30,595.3,610.9,576.2,585.85,4168,MEDICAMEQ
23,2021-12-01 00:00:00+05:30,597.6,625.0,581.1,594.4,7189,MEDICAMEQ
24,2021-12-02 00:00:00+05:30,594.45,600.1,582.2,596.0,2772,MEDICAMEQ
25,2021-12-03 00:00:00+05:30,596.95,715.2,594.45,706.6,77383,MEDICAMEQ
26,2021-12-06 00:00:00+05:30,722.45,734.9,664.2,701.1,72791,MEDICAMEQ
27,2021-12-07 00:00:00+05:30,707.25,716.1,682.0,700.95,21318,MEDICAMEQ
28,2021-12-08 00:00:00+05:30,700.0,774.0,700.0,738.1,107358,MEDICAMEQ
29,2021-12-09 00:00:00+05:30,738.0,769.9,730.05,743.85,44925,MEDICAMEQ
30,2021-12-10 00:00:00+05:30,755.0,758.0,702.1,712.8,33198,MEDICAMEQ
31,2021-12-13 00:00:00+05:30,779.9,829.0,755.25,804.25,177210,MEDICAMEQ
32,2021-12-14 00:00:00+05:30,819.0,837.0,787.75,797.55,50397,MEDICAMEQ
33,2021-12-15 00:00:00+05:30,795.0,812.05,771.25,784.9,35929,MEDICAMEQ
34,2021-12-16 00:00:00+05:30,799.0,918.8,785.45,843.25,345052,MEDICAMEQ
35,2021-12-17 00:00:00+05:30,846.9,858.95,772.2,782.25,54112,MEDICAMEQ
36,2021-12-20 00:00:00+05:30,780.0,857.35,752.35,845.15,110876,MEDICAMEQ
37,2021-12-21 00:00:00+05:30,867.45,902.0,835.65,864.7,111939,MEDICAMEQ
38,2021-12-22 00:00:00+05:30,873.7,885.0,835.15,840.75,30356,MEDICAMEQ
39,2021-12-23 00:00:00+05:30,849.4,959.4,823.6,924.8,137074,MEDICAMEQ
40,2021-12-24 00:00:00+05:30,933.0,999.0,904.25,982.25,148359,MEDICAMEQ
41,2021-12-27 00:00:00+05:30,999.4,1019.8,975.6,988.7,90017,MEDICAMEQ
42,2021-12-28 00:00:00+05:30,999.9,1008.95,904.4,965.85,73697,MEDICAMEQ
43,2021-12-29 00:00:00+05:30,985.0,995.0,940.15,947.25,36142,MEDICAMEQ
44,2021-12-30 00:00:00+05:30,965.0,965.0,906.0,922.05,33535,MEDICAMEQ
45,2021-12-31 00:00:00+05:30,925.0,965.0,877.6,887.6,57179,MEDICAMEQ
