Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,20.4,20.4,20.4,41.6,41.6,41.9,41.9,45.4,45.4,47.8,MINDACORP
Reserves,227.96,250.07,267.25,270.68,304.56,372.2,641.8,1087.1,816.2,974.2,MINDACORP
Borrowings,108.34,100.77,91.81,58.85,65.87,159.9,412.3,393.9,388.3,527.7,MINDACORP
Other Liabilities,141.15,142.4,149.52,120.54,148.73,148.1,404.0,456.0,616.4,651.1,MINDACORP
Total,497.85,513.64,528.98,491.67,560.76,722.1,1500.0,1982.4,1866.3,2200.8,MINDACORP
Net Block,103.47,111.3,138.7,123.89,128.96,159.5,413.8,445.1,532.1,574.7,MINDACORP
Capital Work in Progress,9.74,36.2,3.57,4.17,6.9,20.8,11.3,14.6,27.5,17.5,MINDACORP
Investments,88.71,103.54,176.34,185.48,200.48,293.0,310.4,352.5,149.9,150.5,MINDACORP
Other Assets,295.93,262.6,210.37,178.13,224.42,248.8,764.5,1170.2,1156.8,1458.1,MINDACORP
Total,497.85,513.64,528.98,491.67,560.76,722.1,1500.0,1982.4,1866.3,2200.8,MINDACORP
Receivables,101.71,118.04,121.04,104.86,112.66,144.5,421.9,447.8,327.0,427.5,MINDACORP
Inventory,49.76,38.24,40.11,34.76,38.81,43.3,194.1,253.3,322.6,375.1,MINDACORP
Cash & Bank,75.82,15.99,23.92,9.34,47.74,0.7,9.7,322.0,394.8,462.1,MINDACORP
No. of Equity Shares,20396980.0,20396980.0,20396980.0,207976180.0,207976180.0,209311640.0,209311640.0,227222285.0,227222285.0,239079428.0,MINDACORP
New Bonus Shares,10465582.0,,,104655820.0,,,,,,,MINDACORP
Face value,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,MINDACORP
