Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1915.2,2361.8,3031.6,3547.4,4339.8,5039.6,5462.8,7021.5,7764.3,7967.8,MINDTREE
Raw Material Cost,,,,,,,,,,,MINDTREE
Change in Inventory,,,,,,,,,,,MINDTREE
Power and Fuel,18.3,20.6,25.5,27.5,31.6,31.3,28.9,30.2,31.3,16.8,MINDTREE
Other Mfr. Exp,70.9,93.6,147.6,263.4,331.5,393.5,441.9,636.3,781.6,756.9,MINDTREE
Employee Cost,1226.1,1427.4,1782.0,2060.8,2573.2,3243.8,3564.0,4421.1,5064.7,5113.2,MINDTREE
Selling and admin,202.1,194.4,319.4,334.0,420.8,449.3,487.7,583.9,515.9,262.2,MINDTREE
Other Expenses,104.5,173.8,146.5,155.3,181.4,203.2,199.9,285.6,289.4,162.2,MINDTREE
Other Income,38.4,35.0,49.4,83.1,97.3,55.3,190.1,89.3,75.6,151.7,MINDTREE
Depreciation,69.5,62.4,80.9,101.7,131.8,170.3,171.5,164.1,275.4,259.6,MINDTREE
Interest,0.5,1.0,0.4,0.1,15.9,19.1,16.9,2.9,52.9,50.4,MINDTREE
Profit before tax,261.7,423.6,578.7,687.7,750.9,584.4,742.1,986.7,828.7,1498.2,MINDTREE
Tax,43.0,84.7,127.5,153.4,169.9,138.4,172.2,232.7,197.9,387.9,MINDTREE
Net profit,218.7,338.9,451.2,534.3,581.0,446.0,569.9,754.0,630.8,1110.3,MINDTREE
