Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,168.0,168.0,168.0,168.0,168.0,133.19,257.61,257.61,237.33,237.33,MOIL
Reserves,2273.31,2597.64,2959.33,3213.7,3285.37,2672.16,2541.59,2825.1,2526.06,2582.57,MOIL
Borrowings,,,,,,,,,,,MOIL
Other Liabilities,301.95,369.3,344.53,266.27,274.65,286.84,441.35,526.31,538.07,570.42,MOIL
Total,2743.26,3134.94,3471.86,3647.97,3728.02,3092.19,3240.55,3609.02,3301.46,3390.32,MOIL
Net Block,207.05,233.52,232.34,293.91,310.89,326.2,347.77,430.36,587.34,662.91,MOIL
Capital Work in Progress,39.04,26.97,68.97,52.9,80.4,116.16,238.49,296.87,242.03,202.57,MOIL
Investments,4.21,4.21,4.21,0.21,0.21,0.21,23.51,114.74,7.25,324.53,MOIL
Other Assets,2492.96,2870.24,3166.34,3300.95,3336.52,2649.62,2630.78,2767.05,2464.84,2200.31,MOIL
Total,2743.26,3134.94,3471.86,3647.97,3728.02,3092.19,3240.55,3609.02,3301.46,3390.32,MOIL
Receivables,99.33,288.1,113.18,107.24,142.05,241.25,190.02,131.85,134.04,226.55,MOIL
Inventory,81.29,51.53,49.14,144.24,163.0,122.19,97.3,102.64,177.94,110.08,MOIL
Cash & Bank,2088.42,2276.78,2792.83,2829.89,2850.1,2091.13,2139.13,2261.92,1804.68,1580.55,MOIL
No. of Equity Shares,168000000.0,168000000.0,168000000.0,168000000.0,168000000.0,133187804.0,257608888.0,257608888.0,237327879.0,237327879.0,MOIL
New Bonus Shares,,,,,,,133187804.0,,20281009.0,,MOIL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MOIL
