Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,99.9,95.45,105.03,80.89,81.48,100.68,156.62,183.67,213.77,246.43,MTARTECH
Raw Material Cost,,,,,,,65.98,65.53,87.26,101.75,MTARTECH
Change in Inventory,,,,,,,9.05,2.97,15.09,21.6,MTARTECH
Power and Fuel,,,,,,,6.33,6.47,7.24,6.71,MTARTECH
Other Mfr. Exp,,,,,,,10.76,11.31,14.8,14.64,MTARTECH
Employee Cost,,,,,,,44.61,43.51,51.63,53.04,MTARTECH
Selling and admin,,,,,,,3.87,4.9,7.43,6.53,MTARTECH
Other Expenses,84.96,75.64,85.77,79.01,70.82,112.76,2.24,1.2,2.54,2.27,MTARTECH
Other Income,2.9,0.74,1.73,3.26,0.8,0.78,0.94,3.53,4.37,1.31,MTARTECH
Depreciation,8.42,9.43,9.54,4.81,5.3,5.0,11.21,11.23,12.05,12.56,MTARTECH
Interest,6.44,9.38,8.57,7.58,6.7,5.35,4.46,4.46,4.75,7.0,MTARTECH
Profit before tax,2.98,1.74,2.88,-7.25,-0.54,-21.65,17.15,41.56,45.53,64.84,MTARTECH
Tax,0.25,1.4,1.07,-2.63,-0.72,-6.59,11.73,2.35,14.22,18.77,MTARTECH
Net profit,2.73,0.34,1.81,-4.62,0.18,-15.06,5.42,39.2,31.32,46.08,MTARTECH
