Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,4548.93,5387.03,4947.35,4324.52,4874.91,5746.38,6266.52,6878.21,8714.64,10557.21,MUTHOOTFIN
Raw Material Cost,,,,,,,,,,,MUTHOOTFIN
Change in Inventory,,,,,,,,,,,MUTHOOTFIN
Power and Fuel,14.14,19.29,22.62,23.13,25.08,26.72,28.43,29.99,31.58,28.91,MUTHOOTFIN
Other Mfr. Exp,34.08,25.56,27.24,28.1,29.03,36.29,29.56,20.78,20.1,27.65,MUTHOOTFIN
Employee Cost,433.87,564.66,611.1,649.9,661.78,764.27,783.04,898.53,1029.94,1007.36,MUTHOOTFIN
Selling and admin,288.45,307.84,371.98,366.39,362.85,355.52,402.05,504.8,567.73,570.34,MUTHOOTFIN
Other Expenses,42.0,89.55,43.81,37.15,162.44,296.57,266.6,64.14,177.28,183.61,MUTHOOTFIN
Other Income,0.13,0.08,0.07,0.11,0.1,0.24,66.36,2.04,8.14,17.15,MUTHOOTFIN
Depreciation,32.92,45.44,47.46,84.12,57.51,48.25,43.85,42.09,43.09,50.71,MUTHOOTFIN
Interest,2372.35,2823.32,2629.65,2107.98,2259.56,2298.02,1934.66,2243.11,2795.65,3699.26,MUTHOOTFIN
Profit before tax,1331.25,1511.45,1193.56,1027.86,1316.76,1920.98,2844.69,3076.81,4057.41,5006.52,MUTHOOTFIN
Tax,439.23,507.21,413.49,357.34,507.21,741.15,1067.13,1104.67,1039.11,1284.34,MUTHOOTFIN
Net profit,892.02,1004.24,780.07,670.52,809.55,1179.83,1777.56,1972.14,3018.3,3722.18,MUTHOOTFIN
