Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79,NDTV
Reserves,395.28,392.85,339.21,313.63,292.02,263.51,198.63,210.26,221.76,259.62,NDTV
Borrowings,207.34,231.17,195.62,179.8,132.87,121.7,121.35,95.21,97.09,74.07,NDTV
Other Liabilities,109.89,91.28,110.91,156.14,185.05,242.57,289.8,315.83,347.61,299.24,NDTV
Total,738.3,741.09,671.53,675.36,635.73,653.57,635.57,647.09,692.25,658.72,NDTV
Net Block,158.46,115.91,84.67,73.1,58.64,55.96,43.85,35.42,44.69,45.11,NDTV
Capital Work in Progress,0.22,1.58,0.37,,,,,,0.04,0.11,NDTV
Investments,297.16,308.93,311.28,308.35,274.87,295.66,302.21,308.51,322.09,331.62,NDTV
Other Assets,282.46,314.67,275.21,293.91,302.22,301.95,289.51,303.16,325.43,281.88,NDTV
Total,738.3,741.09,671.53,675.36,635.73,653.57,635.57,647.09,692.25,658.72,NDTV
Receivables,139.53,157.42,128.93,159.95,141.99,132.82,112.23,126.88,133.28,88.42,NDTV
Inventory,0.97,0.52,1.0,3.22,6.49,1.07,2.14,0.69,0.57,,NDTV
Cash & Bank,70.02,71.07,33.44,19.26,18.98,18.98,20.63,6.13,8.48,8.57,NDTV
No. of Equity Shares,64471267.0,64471270.0,64471270.0,64471267.0,64471267.0,64471267.0,64471267.0,64471267.0,64471267.0,64471267.0,NDTV
New Bonus Shares,,,,,,,,,,,NDTV
Face value,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,NDTV
