,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,63.65,63.65,61.45,62.05,64589,NELCAST
1,2021-01-04 00:00:00+05:30,63.25,63.45,62.1,62.45,55988,NELCAST
2,2021-01-05 00:00:00+05:30,62.3,65.8,61.6,64.75,460317,NELCAST
3,2021-01-06 00:00:00+05:30,65.1,65.25,62.05,62.55,123641,NELCAST
4,2021-01-07 00:00:00+05:30,62.9,64.85,62.9,63.6,153778,NELCAST
5,2021-01-08 00:00:00+05:30,64.1,64.8,63.05,63.4,149887,NELCAST
6,2021-01-11 00:00:00+05:30,63.95,68.85,61.75,65.95,901605,NELCAST
7,2021-01-12 00:00:00+05:30,64.9,71.3,63.8,70.1,1168791,NELCAST
8,2021-01-13 00:00:00+05:30,70.7,81.5,69.1,79.95,6299369,NELCAST
9,2021-01-14 00:00:00+05:30,77.0,78.4,74.25,75.35,479687,NELCAST
10,2021-01-15 00:00:00+05:30,74.75,74.75,70.7,71.7,297376,NELCAST
11,2021-01-18 00:00:00+05:30,72.15,73.15,68.1,69.1,180031,NELCAST
12,2021-01-19 00:00:00+05:30,70.1,73.6,69.85,72.95,163107,NELCAST
13,2021-01-20 00:00:00+05:30,72.95,73.1,70.3,70.8,137682,NELCAST
14,2021-01-21 00:00:00+05:30,71.4,71.5,69.0,69.3,109236,NELCAST
15,2021-01-22 00:00:00+05:30,69.3,72.4,69.0,71.95,194751,NELCAST
16,2021-01-25 00:00:00+05:30,73.0,73.0,69.0,69.75,87570,NELCAST
17,2021-01-27 00:00:00+05:30,70.4,71.55,64.25,65.85,156254,NELCAST
18,2021-01-28 00:00:00+05:30,65.0,68.8,64.95,67.35,194050,NELCAST
19,2021-01-29 00:00:00+05:30,68.25,69.9,67.5,68.0,69319,NELCAST
20,2021-02-01 00:00:00+05:30,69.0,77.5,67.0,73.15,622063,NELCAST
21,2021-02-02 00:00:00+05:30,73.9,76.3,71.5,71.8,212431,NELCAST
22,2021-02-03 00:00:00+05:30,71.9,73.35,70.9,71.35,91970,NELCAST
23,2021-02-04 00:00:00+05:30,71.1,73.8,70.8,72.05,75916,NELCAST
24,2021-02-05 00:00:00+05:30,72.05,72.7,71.0,71.2,44104,NELCAST
25,2021-02-08 00:00:00+05:30,70.6,72.9,70.5,71.55,78024,NELCAST
26,2021-02-09 00:00:00+05:30,72.4,72.45,70.5,70.8,81602,NELCAST
27,2021-02-10 00:00:00+05:30,71.2,72.7,69.0,70.5,126018,NELCAST
28,2021-02-11 00:00:00+05:30,71.8,72.4,70.0,70.75,215093,NELCAST
29,2021-02-12 00:00:00+05:30,71.75,71.75,68.9,69.45,133970,NELCAST
30,2021-02-15 00:00:00+05:30,69.6,70.5,67.6,69.5,168149,NELCAST
31,2021-02-16 00:00:00+05:30,69.6,70.3,67.5,67.95,132906,NELCAST
32,2021-02-17 00:00:00+05:30,69.5,69.5,67.3,67.85,79899,NELCAST
33,2021-02-18 00:00:00+05:30,68.15,68.7,67.1,67.35,75455,NELCAST
34,2021-02-19 00:00:00+05:30,67.25,69.25,66.5,66.95,130118,NELCAST
35,2021-02-22 00:00:00+05:30,66.15,68.25,66.0,66.45,104248,NELCAST
36,2021-02-23 00:00:00+05:30,66.85,68.35,65.0,66.1,150738,NELCAST
37,2021-02-24 00:00:00+05:30,65.9,67.3,64.4,65.5,66468,NELCAST
38,2021-02-25 00:00:00+05:30,67.1,67.1,65.7,66.4,73835,NELCAST
39,2021-02-26 00:00:00+05:30,66.35,67.8,63.95,64.9,151072,NELCAST
40,2021-03-01 00:00:00+05:30,65.85,66.8,64.45,65.75,145467,NELCAST
41,2021-03-02 00:00:00+05:30,66.05,70.25,66.0,68.75,256210,NELCAST
42,2021-03-03 00:00:00+05:30,69.0,70.35,66.2,66.95,194204,NELCAST
43,2021-03-04 00:00:00+05:30,66.7,68.4,65.6,66.65,91976,NELCAST
44,2021-03-05 00:00:00+05:30,67.0,67.65,66.05,66.3,74730,NELCAST
45,2021-03-08 00:00:00+05:30,67.45,67.8,64.4,65.55,132490,NELCAST
46,2021-03-09 00:00:00+05:30,65.5,67.3,64.9,65.45,86268,NELCAST
47,2021-03-10 00:00:00+05:30,65.05,67.0,65.05,65.8,50346,NELCAST
