Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,NORBTEAEXP
Reserves,3.06,3.62,3.65,3.88,3.91,4.08,4.01,3.55,1.93,3.1,NORBTEAEXP
Borrowings,2.34,1.99,2.23,2.74,3.34,4.54,5.49,6.43,7.58,6.68,NORBTEAEXP
Other Liabilities,0.42,0.43,0.54,0.64,0.82,0.73,0.83,0.91,1.4,1.44,NORBTEAEXP
Total,17.57,17.79,18.17,19.01,19.82,21.1,22.08,22.64,22.66,22.97,NORBTEAEXP
Net Block,14.06,14.6,14.97,15.62,16.17,16.7,18.43,19.13,19.47,20.19,NORBTEAEXP
Capital Work in Progress,,,,,0.17,0.62,,,,,NORBTEAEXP
Investments,,,,,,,,,,,NORBTEAEXP
Other Assets,3.51,3.19,3.2,3.39,3.48,3.78,3.65,3.51,3.19,2.78,NORBTEAEXP
Total,17.57,17.79,18.17,19.01,19.82,21.1,22.08,22.64,22.66,22.97,NORBTEAEXP
Receivables,0.16,0.13,0.15,0.2,0.22,0.23,0.16,0.36,0.23,0.28,NORBTEAEXP
Inventory,0.55,0.55,0.58,0.72,0.69,0.83,0.73,0.72,0.56,0.48,NORBTEAEXP
Cash & Bank,0.36,0.34,0.23,0.3,0.22,0.13,0.18,0.1,0.19,0.22,NORBTEAEXP
No. of Equity Shares,11750000.0,11750000.0,11750000.0,11750000.0,11750000.0,11750000.0,11750000.0,11750000.0,11750000.0,11750000.0,NORBTEAEXP
New Bonus Shares,,,,,,,,,,,NORBTEAEXP
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,NORBTEAEXP
