Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1323.32,1326.23,1175.1,931.24,960.93,1036.6,1267.94,768.04,779.59,252.39,OMAXE
Raw Material Cost,,,,,,,,,,,OMAXE
Change in Inventory,-55.4,-72.69,118.27,626.37,-75.91,-156.65,-511.45,-72.98,-252.75,-42.23,OMAXE
Power and Fuel,1.23,2.3,2.05,1.7,1.7,1.64,1.7,2.1,1.72,1.29,OMAXE
Other Mfr. Exp,993.4,934.1,952.04,1263.15,578.0,545.44,421.5,453.32,266.6,241.7,OMAXE
Employee Cost,60.29,73.39,80.21,66.71,52.11,57.86,61.96,79.55,75.75,52.39,OMAXE
Selling and admin,90.45,99.35,95.32,69.46,63.55,75.55,72.85,58.53,48.35,41.36,OMAXE
Other Expenses,-71.29,-36.19,-29.85,-24.21,0.05,-14.74,-11.74,-10.96,-25.98,-21.36,OMAXE
Other Income,16.23,40.26,36.19,38.61,55.59,42.43,46.48,160.05,136.93,31.47,OMAXE
Depreciation,4.86,6.29,8.61,12.58,8.78,6.48,5.99,6.78,66.69,57.28,OMAXE
Interest,128.13,123.51,136.78,134.54,138.44,121.16,154.21,224.12,201.37,149.07,OMAXE
Profit before tax,77.08,91.05,84.4,72.29,97.98,128.99,96.5,41.67,29.27,-280.1,OMAXE
Tax,14.19,5.2,24.1,32.16,45.22,61.15,33.0,18.53,123.62,-69.89,OMAXE
Net profit,62.89,85.85,60.29,40.13,52.76,67.84,63.5,23.14,-94.35,-210.21,OMAXE
