Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,211.91,1599.77,1864.4,2061.82,2032.6,ORIENTELEC
Raw Material Cost,,,,,,124.81,1070.51,1309.36,1443.35,1386.27,ORIENTELEC
Change in Inventory,,,,,,-22.23,27.09,38.07,34.0,-34.68,ORIENTELEC
Power and Fuel,,,,,,0.83,10.35,11.52,10.62,7.6,ORIENTELEC
Other Mfr. Exp,,,,,,0.86,92.75,13.4,12.68,9.04,ORIENTELEC
Employee Cost,,,,,,11.51,143.23,175.02,200.06,181.07,ORIENTELEC
Selling and admin,,,,,,27.92,150.99,241.02,277.56,229.42,ORIENTELEC
Other Expenses,,,,,,-0.08,19.9,8.95,-25.14,-35.27,ORIENTELEC
Other Income,,,,,,0.84,2.92,7.61,3.82,5.99,ORIENTELEC
Depreciation,,,,,,1.75,19.75,23.05,40.12,43.15,ORIENTELEC
Interest,,,,,,2.72,24.47,22.86,26.12,20.73,ORIENTELEC
Profit before tax,,,,,,20.2,97.83,104.9,114.27,161.9,ORIENTELEC
Tax,,,,,,8.37,33.8,35.59,35.65,42.16,ORIENTELEC
Net profit,,,,,,11.82,64.03,69.31,78.62,119.74,ORIENTELEC
