Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,452.45,579.42,543.15,587.98,511.36,453.95,423.68,447.75,347.41,212.25,PATINTLOG
Raw Material Cost,,,,,,,,,,,PATINTLOG
Change in Inventory,,,,,,,,,,,PATINTLOG
Power and Fuel,8.62,10.51,10.31,8.82,7.77,10.23,13.48,11.4,3.8,0.2,PATINTLOG
Other Mfr. Exp,383.1,503.79,470.48,511.77,430.69,373.95,343.8,368.76,304.84,190.0,PATINTLOG
Employee Cost,24.52,26.42,26.26,26.54,28.44,28.09,28.64,30.88,18.93,11.43,PATINTLOG
Selling and admin,14.24,14.56,12.69,13.3,14.21,14.52,12.62,13.35,7.49,4.13,PATINTLOG
Other Expenses,6.35,6.74,7.54,7.71,8.53,9.11,7.76,8.55,4.26,1.32,PATINTLOG
Other Income,1.05,0.57,0.86,1.68,2.65,4.78,5.29,5.59,16.04,5.05,PATINTLOG
Depreciation,4.27,4.93,4.49,4.51,4.28,4.21,4.75,4.63,3.91,2.35,PATINTLOG
Interest,7.42,9.19,9.15,9.01,9.02,8.17,7.21,8.37,7.39,7.59,PATINTLOG
Profit before tax,4.98,3.85,3.09,8.0,11.07,10.45,10.71,7.4,12.83,0.28,PATINTLOG
Tax,2.3,1.44,0.74,2.01,2.69,2.58,2.49,1.08,2.1,0.22,PATINTLOG
Net profit,2.68,2.41,2.35,5.99,8.37,7.87,8.23,6.33,10.74,0.05,PATINTLOG
