Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,133.97,179.1,179.1,179.1,179.1,179.14,394.36,394.65,395.0,465.4,PCJEWELLER
Reserves,421.82,1209.71,1503.16,1811.28,2231.05,2596.34,3531.44,3541.84,3607.03,3809.94,PCJEWELLER
Borrowings,578.27,233.07,1004.21,681.86,970.38,802.78,1102.4,2120.51,2426.03,2414.21,PCJEWELLER
Other Liabilities,963.7,1813.31,1546.08,2039.27,2356.34,3638.82,3932.78,1607.04,1453.51,1174.35,PCJEWELLER
Total,2097.76,3435.19,4232.55,4711.51,5736.87,7217.08,8960.98,7664.04,7881.57,7863.9,PCJEWELLER
Net Block,56.57,62.76,83.93,89.58,89.88,83.67,77.3,59.18,151.06,126.41,PCJEWELLER
Capital Work in Progress,0.98,1.04,1.1,,,,,0.45,0.75,,PCJEWELLER
Investments,0.01,442.93,185.0,13.18,8.17,143.33,152.56,143.62,143.78,144.31,PCJEWELLER
Other Assets,2040.2,2928.46,3962.52,4608.75,5638.82,6990.08,8731.12,7460.79,7585.98,7593.18,PCJEWELLER
Total,2097.76,3435.19,4232.55,4711.51,5736.87,7217.08,8960.98,7664.04,7881.57,7863.9,PCJEWELLER
Receivables,686.64,674.78,623.22,767.53,908.22,1274.4,1761.81,1773.0,1780.55,1305.33,PCJEWELLER
Inventory,1172.41,1713.7,2377.13,3229.85,3866.06,4118.64,5161.28,4988.11,5258.84,5793.72,PCJEWELLER
Cash & Bank,74.83,264.86,330.09,274.11,291.26,931.65,1491.47,318.88,226.91,174.31,PCJEWELLER
No. of Equity Shares,133966500.0,179100000.0,179100000.0,179100000.0,179100000.0,179137600.0,394355200.0,394647987.0,395357777.0,465403896.0,PCJEWELLER
New Bonus Shares,,,,,,,1792100000.0,1792100000.0,1792100000.0,,PCJEWELLER
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,PCJEWELLER
