Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,16.83,16.83,16.83,16.83,16.83,16.83,16.83,16.83,16.83,16.83,PEARLPOLY
Reserves,30.43,44.64,45.18,35.56,36.02,35.67,33.46,28.59,17.76,7.21,PEARLPOLY
Borrowings,48.33,46.35,38.29,29.37,28.49,28.38,29.62,26.62,26.37,28.32,PEARLPOLY
Other Liabilities,55.33,45.94,47.23,51.24,42.33,47.78,56.87,54.14,44.58,38.77,PEARLPOLY
Total,150.92,153.76,147.53,133.0,123.67,128.66,136.78,126.18,105.54,91.13,PEARLPOLY
Net Block,76.22,66.31,66.65,56.66,52.81,52.18,54.68,49.78,44.77,39.02,PEARLPOLY
Capital Work in Progress,0.01,,,,,0.02,0.11,,,0.03,PEARLPOLY
Investments,6.67,1.79,1.91,2.22,2.1,2.13,2.15,2.11,2.1,2.12,PEARLPOLY
Other Assets,68.02,85.66,78.97,74.12,68.76,74.33,79.84,74.29,58.67,49.96,PEARLPOLY
Total,150.92,153.76,147.53,133.0,123.67,128.66,136.78,126.18,105.54,91.13,PEARLPOLY
Receivables,34.66,45.01,39.57,40.8,36.9,43.12,47.81,43.51,30.42,26.56,PEARLPOLY
Inventory,23.54,19.19,22.68,22.94,21.78,22.83,22.12,22.44,19.71,15.92,PEARLPOLY
Cash & Bank,4.05,5.71,3.97,3.24,3.17,2.96,3.38,2.38,2.48,2.29,PEARLPOLY
No. of Equity Shares,16834932.0,16834932.0,16834932.0,16834932.0,16834932.0,16834932.0,16834932.0,16834932.0,16834932.0,16834932.0,PEARLPOLY
New Bonus Shares,,,,,,,,,,,PEARLPOLY
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,PEARLPOLY
