Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,810.36,996.75,1184.12,1242.5,1447.14,1732.96,1732.75,1959.87,2108.12,2479.61,PERSISTENT
Raw Material Cost,,,,,,,,,,,PERSISTENT
Change in Inventory,,,,,,,,,,,PERSISTENT
Power and Fuel,9.01,8.57,8.28,10.44,11.42,9.65,8.55,9.0,9.7,6.91,PERSISTENT
Other Mfr. Exp,91.45,134.0,151.49,195.28,233.12,282.55,285.87,315.47,297.23,296.51,PERSISTENT
Employee Cost,430.54,478.91,559.06,634.06,718.92,869.68,875.43,951.07,1105.05,1410.83,PERSISTENT
Selling and admin,41.02,53.19,71.42,80.21,138.11,169.71,159.58,238.93,208.54,123.53,PERSISTENT
Other Expenses,24.18,44.58,27.66,19.84,19.99,31.19,21.94,64.88,54.08,30.93,PERSISTENT
Other Income,32.38,28.83,34.23,95.67,79.47,94.62,127.68,103.79,159.35,117.62,PERSISTENT
Depreciation,56.44,59.7,58.41,49.17,58.54,60.97,53.78,45.88,55.51,56.68,PERSISTENT
Interest,,0.04,0.05,0.34,0.09,0.09,0.06,0.05,4.45,3.82,PERSISTENT
Profit before tax,190.1,246.59,341.98,348.83,346.42,403.74,455.22,438.38,532.91,668.02,PERSISTENT
Tax,52.71,64.79,93.41,89.53,96.82,109.71,113.1,123.37,125.18,162.93,PERSISTENT
Net profit,137.39,181.81,248.57,259.3,249.6,294.03,342.12,315.01,407.72,505.09,PERSISTENT
