Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,221.83,302.64,218.13,238.73,260.25,366.35,399.42,508.35,639.42,703.21,PGEL
Raw Material Cost,193.61,265.24,182.83,183.99,196.09,279.17,319.99,403.21,510.75,553.33,PGEL
Change in Inventory,1.21,2.33,-1.62,0.33,4.76,-1.9,10.86,4.07,7.03,-3.19,PGEL
Power and Fuel,5.23,7.02,8.31,8.56,9.74,11.49,11.67,14.35,16.55,16.13,PGEL
Other Mfr. Exp,3.45,3.7,2.5,4.39,6.21,7.88,6.58,7.38,8.0,11.45,PGEL
Employee Cost,11.64,15.9,17.15,21.73,26.21,32.93,34.97,40.16,54.03,55.08,PGEL
Selling and admin,5.34,6.77,7.19,7.31,6.86,9.79,10.08,10.94,12.73,11.1,PGEL
Other Expenses,1.29,1.09,0.94,1.15,1.53,2.44,2.36,5.65,4.48,3.11,PGEL
Other Income,4.09,6.31,4.91,3.2,2.9,3.09,5.24,3.13,0.46,1.75,PGEL
Depreciation,4.51,9.23,11.25,9.48,9.72,10.58,11.74,13.36,16.31,18.01,PGEL
Interest,10.64,11.12,11.53,10.2,9.65,9.9,10.65,10.34,14.75,18.44,PGEL
Profit before tax,-8.58,-8.79,-20.28,-4.55,1.9,3.36,7.48,10.16,9.31,15.12,PGEL
Tax,0.04,-3.8,,,,,,0.22,6.69,3.5,PGEL
Net profit,-8.62,-5.0,-20.28,-4.54,1.91,3.36,7.49,9.94,2.61,11.62,PGEL
